started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2022-07-01 04:23:53.076000+00:00,2022-07-01 04:30:42.908000+00:00,409,31,Tollboden ,ved rundkjøring Havnegata,63.43928560696555,10.40479302406311,105,Trondheim S,Med operativt betjeningspanel.,63.436215184202325,10.39990465658218
2022-07-01 04:34:41.964000+00:00,2022-07-01 04:51:31.604000+00:00,1009,4,Dalen hageby,Ved Bussholdeplassen,63.43757529885024,10.44872760772705,4,Dalen hageby,Ved Bussholdeplassen,63.43757529885024,10.44872760772705
2022-07-01 04:34:51.795000+00:00,2022-07-01 04:44:32.955000+00:00,581,86,Lerkendal,  I Strindvegen ved Klæbuveien,63.412525462202666,10.40068656206131,66,Verftsbrua,Ved Brattørbrua,63.43527713641004,10.405813604593277
2022-07-01 04:37:34.016000+00:00,2022-07-01 04:52:07.347000+00:00,873,110,Valentinlyst,ved Strindheim kirke,63.42545389268059,10.441064536571503,85,TMV-odden,Solsiden,63.43547778770301,10.410569131581866
2022-07-01 04:37:37.270000+00:00,2022-07-01 04:43:11.348000+00:00,334,108,Bassengbakken, ved Rosenborgbassenget,63.43592006472795,10.414788275957108,20,Nordre gate , Ved Olav Tryggvasons gate,63.433085554043984,10.397391468286514
2022-07-01 04:42:22.490000+00:00,2022-07-01 04:47:06.004000+00:00,283,30,St. Olavs gate,Ved trikkeholdeplass,63.431170931099416,10.390283614397049,45,Studentersamfundet,sør for Eddaparken. Operativt betjeningspanel.,63.42185871322338,10.39451614022255
2022-07-01 04:59:01.122000+00:00,2022-07-01 05:05:24.202000+00:00,383,177,Kristiansten,langs Festningsgata mellom Holbergs gate og Tyholtveien,63.42593349677826,10.41660167758505,92,Dora I, Ved Byarkivet,63.43853720980968,10.419105291366577
2022-07-01 05:04:46.741000+00:00,2022-07-01 05:10:18.340000+00:00,331,128,Lillegårdsbakken,Nederst i Lillegårdsbakken,63.42629161886643,10.404109150403997,85,TMV-odden,Solsiden,63.43547778770301,10.410569131581866
2022-07-01 05:05:33.025000+00:00,2022-07-01 05:20:26.675000+00:00,893,65,Strandveikaia,langs Stiklestadveien ved Strandveien,63.44208952370503,10.427939146757126,2258,St. Olavs Hospital,Bak kunnskapssenteret,63.42126270770024,10.386516005020496
2022-07-01 05:07:37.311000+00:00,2022-07-01 05:22:14.469000+00:00,877,1883,Baldershage,ved Kong Øysteins veg,63.43032895814139,10.453960590206151,74,Erling Skakkes gate, Ved Vår Frues gate,63.42889745011402,10.39928913116455
