started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2022-10-01 04:52:56.070000+00:00,2022-10-01 05:14:20.230000+00:00,1284,44,Prinsen kinosenter,ved kryss Prinsens gate/Arkitekt Christies gate,63.42663458755783,10.392784774303436,44,Prinsen kinosenter,ved kryss Prinsens gate/Arkitekt Christies gate,63.42663458755783,10.392784774303436
2022-10-01 05:37:44.171000+00:00,2022-10-01 05:42:03.081000+00:00,258,62,Kalvskinnet,Kalvskinnsgata/Erling Skakkes gate,63.42792321730192,10.389504432678223,19,Jomfrugateallmenningen,Fjordgata vest,63.434423074986874,10.395468324422836
2022-10-01 05:41:02.506000+00:00,2022-10-01 05:51:54.715000+00:00,652,155,Kong Øysteins veg,,63.42066281516962,10.437347828255156,45,Studentersamfundet,sør for Eddaparken. Operativt betjeningspanel.,63.42185871322338,10.39451614022255
2022-10-01 05:41:19.791000+00:00,2022-10-01 05:46:53.818000+00:00,334,51,Skansen, ved kryss Mellomila / Illevollen,63.430403126559675,10.37476971745491,109,Torvet II,Utenfor McDonald's,63.430470910132236,10.393931418657303
2022-10-01 05:48:56.973000+00:00,2022-10-01 05:56:20.103000+00:00,443,55,Finalebanen,Ved Edvart Griegs gate,63.41978492000792,10.39221078157425,109,Torvet II,Utenfor McDonald's,63.430470910132236,10.393931418657303
2022-10-01 06:32:18.047000+00:00,2022-10-01 06:51:52.780000+00:00,1174,1882,Lilleby,i Dakotaparken,63.44178275700753,10.439477124178211,293,S. P. Andersens vei,ved Valgrindvegen,63.409888448864876,10.405212902563903
2022-10-01 06:39:36.626000+00:00,2022-10-01 06:50:07.182000+00:00,630,41,Vollabakken, Ved Klostergata,63.42193791751501,10.399257121622668,2303,Tempe,Utenfor MAX-bygget i Tempevegen,63.40772802863199,10.39705323440262
2022-10-01 06:50:31.016000+00:00,2022-10-01 06:54:46.508000+00:00,255,123,Hesthagen,Ved Klæbuveien ,63.41541842278556,10.399565398693085,86,Lerkendal,  I Strindvegen ved Klæbuveien,63.412525462202666,10.40068656206131
2022-10-01 06:50:54.352000+00:00,2022-10-01 06:58:59.656000+00:00,485,177,Kristiansten,langs Festningsgata mellom Holbergs gate og Tyholtveien,63.42593349677826,10.41660167758505,293,S. P. Andersens vei,ved Valgrindvegen,63.409888448864876,10.405212902563903
2022-10-01 06:52:46.846000+00:00,2022-10-01 06:57:26.042000+00:00,279,19,Jomfrugateallmenningen,Fjordgata vest,63.434423074986874,10.395468324422836,108,Bassengbakken, ved Rosenborgbassenget,63.43592006472795,10.414788275957108
2022-10-01 06:52:47.881000+00:00,2022-10-01 06:57:26.424000+00:00,278,19,Jomfrugateallmenningen,Fjordgata vest,63.434423074986874,10.395468324422836,108,Bassengbakken, ved Rosenborgbassenget,63.43592006472795,10.414788275957108
2022-10-01 06:53:35.420000+00:00,2022-10-01 07:04:03.837000+00:00,628,128,Lillegårdsbakken,Nederst i Lillegårdsbakken,63.42629161886643,10.404109150403997,293,S. P. Andersens vei,ved Valgrindvegen,63.409888448864876,10.405212902563903
2022-10-01 06:55:06.788000+00:00,2022-10-01 06:59:40.039000+00:00,273,74,Erling Skakkes gate, Ved Vår Frues gate,63.42889745011402,10.39928913116455,41,Vollabakken, Ved Klostergata,63.42193791751501,10.399257121622668
2022-10-01 06:56:36.758000+00:00,2022-10-01 07:06:51.442000+00:00,614,110,Valentinlyst,ved Strindheim kirke,63.42545389268059,10.441064536571503,28,Kongens gate,Ved Nordre gate,63.43045711348886,10.398100912570953
