price,address,area,city,country,price_per_sqm,lat_long
270691.02,"Vadmyrveien 18, Loddefjord",175.0,Bergen,Norway,1546.8058285714285,"(60.360961, 5.228444)"
300474.11,"Michael Krohns gate 54, Bergen",80.0,Bergen,Norway,3755.926375,"(60.3796774, 5.322506)"
220482.5,"Lille Damsgårdsveien 53, Laksevåg",58.0,Bergen,Norway,3801.422413793103,"(60.3882825, 5.2909161)"
298602.83599999995,"Apeltunhaugene 179, Rådal",48.0,Bergen,Norway,6220.892416666666,"(60.2896416, 5.337125)"
213219.198,"Nattlandsveien 96B, Bergen",68.0,Bergen,Norway,3135.5764411764703,"(60.3539649, 5.3693426)"
520171.0,"Fyllingsveien 38, Laksevåg",36.0,Bergen,Norway,14449.194444444443,"(60.3833031, 5.30383)"
234706.9,"Øvre Holen 4F, Laksevåg",201.0,Bergen,Norway,1167.6960199004975,"(60.390217, 5.283575)"
393376.9,"Øvre Sædalsvegen 20, Bergen",66.0,Bergen,Norway,5960.25606060606,"(60.343316, 5.3813797)"
264364.0,"Hagevegen 5A, Haukeland",92.0,Bergen,Norway,2873.521739130435,"(60.3589121, 5.4534311)"
520105.64,"Nyhavn 8B, Bergen",82.0,Bergen,Norway,6342.751707317073,"(60.4169711, 5.3064721)"
279949.436,"Harald Sæveruds veg 82N, Rådal",76.0,Bergen,Norway,3683.545210526316,"(60.2962342, 5.310345)"
300237.696,"Ture Nermans vei 27, Fyllingsdalen",53.0,Bergen,Norway,5664.862188679245,"(60.3403312, 5.2851954)"
969079.562,"Damsgårdsveien 93A, Bergen",73.0,Bergen,Norway,13275.062493150685,"(60.381953, 5.319234)"
344494.5,"Jacob Larsens vei 16, Laksevåg",117.0,Bergen,Norway,2944.397435897436,"(60.389107, 5.2843753)"
457584.5,"Apeltunhaugene 69, Rådal",188.0,Bergen,Norway,2433.960106382978,"(60.291683, 5.34173)"
331741.818,"Damsgårdsveien 103, Bergen",105.0,Bergen,Norway,3159.4458857142854,"(60.382512, 5.31743)"
264501.772,"Søndre Skogveien 20, Bergen",44.0,Bergen,Norway,6011.403909090909,"(60.3741032, 5.333844)"
400555.492,"Shetlands-Larsens vei 21, Fyllingsdalen",47.0,Bergen,Norway,8522.457276595744,"(60.3470115, 5.2859297)"
308580.9,"Kirkegaten 16, Bergen",80.0,Bergen,Norway,3857.26125,"(60.4074226, 5.3266758)"
463789.056,"Liaflaten 2A, Nyborg",42.0,Bergen,Norway,11042.59657142857,"(60.470664, 5.344423)"
439975.14,"Nordhagen 56C, Haukeland",82.0,Bergen,Norway,5365.550487804878,"(60.3620259, 5.459242)"
397010.4,"Petedalsheia 22, Sandsli",130.0,Bergen,Norway,3053.9261538461537,"(60.3016068, 5.2886377)"
317459.54,"Kjenndalstoppen 22, Nesttun",95.0,Bergen,Norway,3341.6793684210525,"(60.3341224, 5.382971)"
263654.5,"Sundts veg 172, Nesttun",70.0,Bergen,Norway,3766.492857142857,"(60.313649, 5.334606)"
1014843.258,"Georgernes Verft 18, Bergen",45.0,Bergen,Norway,22552.0724,"(60.396277, 5.307516)"
520343.0,"Fanahammeren 49B, Fana",118.0,Bergen,Norway,4409.686440677966,"(60.261755, 5.337001)"
281024.78,"Øyjordsveien 88, Bergen",142.0,Bergen,Norway,1979.047746478873,"(60.4321005, 5.2967013)"
748460.2359999999,"Ytre Morvik 44, Morvik",62.0,Bergen,Norway,12071.93929032258,"(60.479495, 5.2571281)"
408586.0,"Gyldenprisveien 16, Bergen",207.0,Bergen,Norway,1973.845410628019,"(60.38028, 5.315903)"
335197.9,"Eikeveien 27, Bergen",58.0,Bergen,Norway,5779.274137931034,"(60.360375, 5.34886)"
231426.0,"Stadionveien 12, Laksevåg",43.0,Bergen,Norway,5381.999999999999,"(60.383773, 5.299749)"
209082.598,"Liakroken 36, Nyborg",53.0,Bergen,Norway,3944.9546792452825,"(60.4658947, 5.3497165)"
