price,adresse,area,city,country,price_per_sqm
270691.01999999996,"Vadmyrveien 18, Loddefjord",175.0,Bergen,Norway,1546.8058285714283
300474.11,"Michael Krohns gate 54, Bergen",80.0,Bergen,Norway,3755.926375
220482.49999999997,"Lille Damsgårdsveien 53, Laksevåg",58.0,Bergen,Norway,3801.422413793103
298602.83599999995,"Apeltunhaugene 179, Rådal",48.0,Bergen,Norway,6220.892416666666
213219.19799999997,"Nattlandsveien 96B, Bergen",68.0,Bergen,Norway,3135.5764411764703
520170.99999999994,"Fyllingsveien 38, Laksevåg",36.0,Bergen,Norway,14449.194444444443
234706.9,"Øvre Holen 4F, Laksevåg",201.0,Bergen,Norway,1167.6960199004975
393376.89999999997,"Øvre Sædalsvegen 20, Bergen",66.0,Bergen,Norway,5960.25606060606
264364.0,"Hagevegen 5A, Haukeland",92.0,Bergen,Norway,2873.521739130435
520105.63999999996,"Nyhavn 8B, Bergen",82.0,Bergen,Norway,6342.751707317073
279949.436,"Harald Sæveruds veg 82N, Rådal",76.0,Bergen,Norway,3683.5452105263157
300237.696,"Ture Nermans vei 27, Fyllingsdalen",53.0,Bergen,Norway,5664.862188679245
969079.5619999999,"Damsgårdsveien 93A, Bergen",73.0,Bergen,Norway,13275.062493150685
344494.5,"Jacob Larsens vei 16, Laksevåg",117.0,Bergen,Norway,2944.397435897436
457584.49999999994,"Apeltunhaugene 69, Rådal",188.0,Bergen,Norway,2433.960106382978
331741.81799999997,"Damsgårdsveien 103, Bergen",105.0,Bergen,Norway,3159.4458857142854
264501.772,"Søndre Skogveien 20, Bergen",44.0,Bergen,Norway,6011.403909090909
400555.49199999997,"Shetlands-Larsens vei 21, Fyllingsdalen",47.0,Bergen,Norway,8522.457276595744
308580.89999999997,"Kirkegaten 16, Bergen",80.0,Bergen,Norway,3857.2612499999996
463789.056,"Liaflaten 2A, Nyborg",42.0,Bergen,Norway,11042.59657142857
439975.13999999996,"Nordhagen 56C, Haukeland",82.0,Bergen,Norway,5365.550487804878
