prices,adresses,sqm,city
Totalpris: 3 147 570 ,"Vadmyrveien 18, Loddefjord",175 ,Bergen
Totalpris: 3 493 885 ,"Michael Krohns gate 54, Bergen",80 ,Bergen
Totalpris: 2 563 750 ,"Lille Damsgårdsveien 53, Laksevåg",58 ,Bergen
Totalpris: 3 472 126 ,"Apeltunhaugene 179, Rådal",48 ,Bergen
Totalpris: 2 479 293 ,"Nattlandsveien 96B, Bergen",68 ,Bergen
Totalpris: 6 048 500 ,"Fyllingsveien 38, Laksevåg",36 ,Bergen
Totalpris: 2 729 150 ,"Øvre Holen 4F, Laksevåg",201 ,Bergen
Totalpris: 4 574 150 ,"Øvre Sædalsvegen 20, Bergen",66 ,Bergen
Totalpris: 3 074 000 ,"Hagevegen 5A, Haukeland",92 ,Bergen
Totalpris: 6 047 740 ,"Nyhavn 8B, Bergen",82 ,Bergen
Totalpris: 3 255 226 ,"Harald Sæveruds veg 82N, Rådal",76 ,Bergen
Totalpris: 3 491 136 ,"Ture Nermans vei 27, Fyllingsdalen",53 ,Bergen
Totalpris: 11 268 367 ,"Damsgårdsveien 93A, Bergen",73 ,Bergen
Totalpris: 4 005 750 ,"Jacob Larsens vei 16, Laksevåg",117 ,Bergen
Totalpris: 5 320 750 ,"Apeltunhaugene 69, Rådal",188 ,Bergen
Totalpris: 3 857 463 ,"Damsgårdsveien 103, Bergen",105 ,Bergen
Totalpris: 3 075 602 ,"Søndre Skogveien 20, Bergen",44 ,Bergen
Totalpris: 4 657 622 ,"Shetlands-Larsens vei 21, Fyllingsdalen",47 ,Bergen
Totalpris: 3 588 150 ,"Kirkegaten 16, Bergen",80 ,Bergen
Totalpris: 5 392 896 ,"Liaflaten 2A, Nyborg",42 ,Bergen
Totalpris: 5 115 990 ,"Nordhagen 56C, Haukeland",82 ,Bergen
Totalpris: 4 616 400 ,"Petedalsheia 22, Sandsli",130 ,Bergen
Totalpris: 3 691 390 ,"Kjenndalstoppen 22, Nesttun",95 ,Bergen
Totalpris: 3 065 750 ,"Sundts veg 172, Nesttun",70 ,Bergen
Totalpris: 11 800 503 ,"Georgernes Verft 18, Bergen",45 ,Bergen
Totalpris: 6 050 500 ,"Fanahammeren 49B, Fana",118 ,Bergen
Totalpris: 3 267 730 ,"Øyjordsveien 88, Bergen",142 ,Bergen
Totalpris: 8 703 026 ,"Ytre Morvik 44, Morvik",62 ,Bergen
Totalpris: 4 751 000 - 7 297 000 ,"Gyldenprisveien 16, Bergen",207 ,Bergen
Totalpris: 3 897 650 ,"Eikeveien 27, Bergen",58 - 99 ,Bergen
Totalpris: 2 691 000 ,"Stadionveien 12, Laksevåg",43 ,Bergen
Totalpris: 2 431 193 ,"Liakroken 36, Nyborg",53 ,Bergen
Totalpris: 4 922 650 ,"Siljustølvegen 81, Rådal",66 ,Bergen
Totalpris: 4 199 221 ,"Bjørnsons gate 5, Bergen",81 ,Bergen
Totalpris: 8 098 500 ,"Leirvikneset 37, Godvik",51 ,Bergen
Totalpris: 2 408 370 ,"Leikvangvegen 62, Breistein",253 ,Bergen
Totalpris: 5 576 776 ,"Haugeveien 9B, Bergen",38 ,Bergen
Totalpris: 5 638 740 ,"Nedre Bjørkåsen 13C, D og E, Nesttun",77 ,Bergen
Totalpris: 4 920 650 ,"Totlandsvegen 80A, Nesttun",148 ,Bergen
Totalpris: 2 700 900 ,"Kalfarveien 22, Bergen",96 ,Bergen
Totalpris: 4 110 250 ,"Helldalslia 13, Nesttun",43 ,Bergen
Totalpris: 5 508 981 ,"Dag Hammarskjölds vei 90D, Fyllingsdalen",182 ,Bergen
Totalpris: 3 442 731 ,"Kjenndalsbrotet 51, Nesttun",108 ,Bergen
Totalpris: 2 978 076 ,"Laura Gundersens gate 9C, Bergen",74 ,Bergen
Totalpris: 9 749 640 ,"Starefossveien 17C, Bergen",41 ,Bergen
Totalpris: 3 910 609 ,"Ortustranden 22, Fyllingsdalen",184 ,Bergen
Andel ∙ Leilighet ∙ 3 soverom,"Damsgårdsveien 87, Bergen",77 ,Bergen
Totalpris: 2 341 529 ,"Træsgrenda 5, Flaktveit",66 ,Bergen
Totalpris: 4 090 990 ,"Ytrebygdsvegen 11, Søreidgrend",86 ,Bergen
Totalpris: 3 904 190 ,"Apeltunlien 20, Rådal",79 ,Bergen
Totalpris: 3 414 306 - 10 532 218 ,"Kokstadvegen 19-21, trinn 1, Kokstad",45 - 123 ,Bergen
Totalpris: 5 750 250 ,"Vikaleitet 46, Nyborg",188 ,Bergen
Totalpris: 7 697 990 ,"Birkelandsbotn 19, Nesttun",167 ,Bergen
Totalpris: 2 751 460 ,"Kråvasslia 14B, Flaktveit",60 ,Bergen
Totalpris: 5 651 940 ,"Harald Sæveruds veg 230, Rådal",78 ,Bergen
Totalpris: 3 078 828 ,"Ulvedalen 3, Flaktveit",95 ,Bergen
Totalpris: 28 188 740 ,"Sandviksbodene 73A, Bergen",2 267 ,Bergen
Totalpris: 6 675 400 ,"Markeveien 12, Bergen",80 ,Bergen
Totalpris: 3 609 596 ,"Kolstibotn 12, Bergen",78 ,Bergen
Totalpris: 3 587 740 ,"Elvebakken 5B, Bergen",74 ,Bergen
Totalpris: 10 781 000 ,"Nattlandsfjellet 175, Bergen",214 ,Bergen
Totalpris: 4 205 150 ,"Inger Bang Lunds vei 19, Bergen",44 ,Bergen
Totalpris: 6 464 990 ,"Godviksvingene 117, Godvik",272 ,Bergen
Totalpris: 4 725 490 ,"Washingtons vei 17, Bergen",61 ,Bergen
Totalpris: 3 444 240 ,"Åstveitveien 69C, Øvre Ervik",81 ,Bergen
Totalpris: 5 951 073 ,"Damsgårdsveien 103, Bergen",75 ,Bergen
Totalpris: 2 860 440 ,"Solheimsgaten 78, Bergen",41 ,Bergen
Totalpris: 2 933 390 ,"Parkveien 2B, Bergen",28 ,Bergen
Totalpris: 3 169 895 ,"Hetlevikåsen 20, Loddefjord",72 ,Bergen
Totalpris: 3 291 407 ,"Kolstibotn 12, Bergen",66 ,Bergen
Totalpris: 2 460 240 ,"Frydenlundsvegen 6, Ytre Arna",102 ,Bergen
Totalpris: 15 048 110 ,"Kalfarveien 20D, Bergen",132 ,Bergen
Totalpris: 6 560 240 ,"Sydneskleiven 4, Bergen",94 ,Bergen
Totalpris: 3 085 250 ,"Ulsmågskaret 5D, Nesttun",63 ,Bergen
Totalpris: 4 326 066 ,"Helleveien 263, Bergen",73 ,Bergen
Totalpris: 1 548 045 ,"Elvenesvegen 16C, Nesttun",17 ,Bergen
Totalpris: 4 305 650 ,"Harald Sæveruds veg 198, Rådal",103 ,Bergen
Totalpris: 2 927 372 ,"Vallaheiane 50, Nesttun",74 ,Bergen
Eier (Selveier) ∙ Enebolig ∙ 6 soveromVisning - 16. september kl. 17:00,"Korgeliskaret 11, Nesttun",290 ,Bergen
Totalpris: 8 679 750 ,"Stokkedalen 106, Straumsgrend",311 ,Bergen
Totalpris: 6 216 240 ,"Ulsmågvegen 41 A og B, Nesttun",118 ,Bergen
Totalpris: 6 458 500 ,"Øyjordsbotn 6, Bergen",135 ,Bergen
Totalpris: 5 166 542 ,Nesttun,103 ,Bergen
Totalpris: 3 595 750 ,"Bernhard Meyers vei 5, Bergen",46 ,Bergen
Totalpris: 7 230 074 ,"Kirkegaten 43, Bergen",93 ,Bergen
Totalpris: 4 018 068 ,"Vardeveien 101B, Fyllingsdalen",136 ,Bergen
Eier (Selveier) ∙ Tomannsbolig ∙ 4 soveromVisning - 12. september kl. 18:30,"Sundby-Hvorups vei 2A, Loddefjord",173 ,Bergen
Totalpris: 3 685 475 ,"Søndre Lyderhornslien 60, Loddefjord",62 ,Bergen
Totalpris: 4 506 590 ,"Søndre Lyderhornslien 60, Loddefjord",79 ,Bergen
Totalpris: 13 098 000 ,"Olsvikveien 190A, Olsvik",183 ,Bergen
Totalpris: 7 633 695 - 8 730 170 ,"Sandsliåsen 57, Sandsli",126 - 157 ,Bergen
Totalpris: 3 332 250 ,"Søndre Skogveien 5, Bergen",50 ,Bergen
Totalpris: 7 181 402 ,"Kirkevegen 18, Bergen",160 ,Bergen
Totalpris: 4 108 250 ,"Teiganeset 16, Garnes",195 ,Bergen
Totalpris: 8 718 540 ,"Øvre Våganeset 3, Øvre Ervik",224 ,Bergen
Totalpris: 4 014 855 ,"Traudalen 15, Fyllingsdalen",126 ,Bergen
Totalpris: 3 207 830 ,"Ørnahaugen 37, Fyllingsdalen",77 ,Bergen
Totalpris: 3 742 250 ,"Hans Hauges gate 4, Bergen",42 ,Bergen
Totalpris: 6 665 150 ,"Inger Bang Lunds vei 9, Bergen",82 ,Bergen
Totalpris: 3 487 650 ,"Daniel Hansens gate 11, Bergen",51 ,Bergen
Totalpris: 2 532 136 ,"Lonevegen 6, Nesttun",57 ,Bergen
Totalpris: 3 690 650 ,"Zinken Hopps gate 1, Bergen",58 ,Bergen
Totalpris: 4 716 000 ,"Pyttergrenden 6, Bergen",50 ,Bergen
Totalpris: 7 586 240 ,"Kjenndalsåsen 13, Nesttun",170 ,Bergen
Totalpris: 8 508 500 ,"Sollien 144A, Bergen",206 ,Bergen
Totalpris: 7 208 600 ,"Nesttunvegen 3, Paradis",112 ,Bergen
Totalpris: 5 999 140 ,"Korgelia 4, Nesttun",160 ,Bergen
Totalpris: 3 588 150 ,"Søndre Skogveien 35B, Bergen",55 ,Bergen
Totalpris: 3 382 740 ,"Vestlundveien 24B, Fyllingsdalen",59 ,Bergen
Totalpris: 5 133 250 ,"Godvikveien 10, Godvik",161 ,Bergen
Totalpris: 3 168 945 ,"Dag Hammarskjölds vei 81, Fyllingsdalen",78 ,Bergen
Totalpris: 7 796 000 ,"Råtun 49A, Rådal",141 ,Bergen
Totalpris: 9 128 500 ,"Laura Gundersens gate 14, Bergen",198 ,Bergen
Totalpris: 7 592 564 ,"Kringlebotn 108, Nesttun",180 ,Bergen
Totalpris: 5 484 432 ,"Våkleivåsen 32, Bønes",145 ,Bergen
Totalpris: 3 844 223 ,"Erleveien 42A, Bergen",68 ,Bergen
Totalpris: 3 075 890 ,"Haukelandsveien 48A, Bergen",40 ,Bergen
Totalpris: 3 699 081 ,"Nattlandsveien 96B, Bergen",71 ,Bergen
Totalpris: 3 062 385 ,"Apeltunlien 75A, Rådal",46 ,Bergen
Totalpris: 2 315 287 ,"Strimmelen 4, Bergen",35 ,Bergen
Totalpris: 7 587 650 ,"Holtaåsen 16C, Rådal",160 ,Bergen
Totalpris: 3 486 390 ,"Fredrik Stangs vei 5, Bergen",63 ,Bergen
Totalpris: 9 226 000 ,"Lægdene 7, Bergen",197 ,Bergen
Totalpris: 4 307 650 ,"Steinsvikvegen 382, Rådal",78 ,Bergen
Totalpris: 2 694 240 ,"Hetlevikåsen 30, Loddefjord",65 ,Bergen
Totalpris: 33 845 140 ,"Haakon Sæthres veg 23, Paradis",398 ,Bergen
Totalpris: 5 125 602 ,"Amalie Skrams vei 5, Bergen",74 ,Bergen
Totalpris: 2 851 363 ,"Liaflaten 37, Nyborg",60 ,Bergen
