service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1001_20240917_20241115_Ke,0,0,1,0,0,0,0,20240917,20241115
1001_20240917_20241115_Ma,1,0,0,0,0,0,0,20240917,20241115
1001_20240917_20241115_Pe,0,0,0,0,1,0,0,20240917,20241115
1001_20240917_20241115_Ti,0,1,0,0,0,0,0,20240917,20241115
1001_20240917_20241115_To,0,0,0,1,0,0,0,20240917,20241115
1001 3_20240917_20241115_Ke,0,0,1,0,0,0,0,20240917,20241115
1001 3_20240917_20241115_Ma,1,0,0,0,0,0,0,20240917,20241115
1001 3_20240917_20241115_Pe,0,0,0,0,1,0,0,20240917,20241115
1001 3_20240917_20241115_Ti,0,1,0,0,0,0,0,20240917,20241115
1001 3_20240917_20241115_To,0,0,0,1,0,0,0,20240917,20241115
1001 5_20240917_20241115_Ke,0,0,1,0,0,0,0,20240917,20241115
1001 5_20240917_20241115_La,0,0,0,0,0,1,0,20240917,20241115
1001 5_20240917_20241115_Ma,1,0,0,0,0,0,0,20240917,20241115
1001 5_20240917_20241115_Pe,0,0,0,0,1,0,0,20240917,20241115
1001 5_20240917_20241115_Su,0,0,0,0,0,0,1,20240917,20241115
1001 5_20240917_20241115_Ti,0,1,0,0,0,0,0,20240917,20241115
1001 5_20240917_20241115_To,0,0,0,1,0,0,0,20240917,20241115
1001 6_20240917_20241115_Ke,0,0,1,0,0,0,0,20240917,20241115
1001 6_20240917_20241115_Ma,1,0,0,0,0,0,0,20240917,20241115
1001 6_20240917_20241115_Pe,0,0,0,0,1,0,0,20240917,20241115
1001 6_20240917_20241115_Ti,0,1,0,0,0,0,0,20240917,20241115
1001 6_20240917_20241115_To,0,0,0,1,0,0,0,20240917,20241115
1001H3_20240917_20241115_Ke,0,0,1,0,0,0,0,20240917,20241115
1001H3_20240917_20241115_Ma,1,0,0,0,0,0,0,20240917,20241115
1001H3_20240917_20241115_Pe,0,0,0,0,1,0,0,20240917,20241115
1001H3_20240917_20241115_Ti,0,1,0,0,0,0,0,20240917,20241115
