service_id,date,exception_type
1019_20240917_20241103_La,20241102,2
1500_20240930_20241115_To,20241010,2
1500_20240930_20241115_Su,20241013,2
2200_20240917_20241115_To,20241010,2
2200_20240917_20241115_Su,20241013,2
2510_20240930_20241115_To,20241010,2
2510_20240930_20241115_Su,20241013,2
3001I_20241007_20241026_To,20241010,2
3001I_20241027_20241115_Ma,20241028,2
3001I_20241027_20241115_Su,20241027,2
3001K_20240917_20241004_Ma,20240930,2
3001K_20240917_20241004_Ti,20240917,2
3001K_20240917_20241004_Ke,20240918,2
3001K_20241008_20241026_Ti,20241008,2
3001K_20241027_20241115_Ma,20241028,2
3001K_20241027_20241115_Ti,20241029,2
3001K_20241027_20241115_Su,20241027,2
3001R_20240917_20241026_Ti,20241008,2
3001R_20240917_20241026_Su,20240929,2
3001R_20241027_20241115_Ke,20241030,2
3001R_20241027_20241115_Ma,20241028,2
3001R_20241027_20241115_Ti,20241029,2
3001R_20241027_20241115_Su,20241027,2
3001Z_20240917_20241026_To,20241003,2
3002L_20240930_20241026_To,20241010,2
3002L_20240930_20241026_To,20241017,2
3002L7_20240930_20241026_To,20241010,2
3002L7_20240930_20241026_To,20241017,2
3002P_20241007_20241026_Ti,20241008,2
3002P_20241027_20241115_Ke,20241030,2
3002P_20241027_20241115_Ma,20241028,2
3002P_20241027_20241115_Ti,20241029,2
3002P_20241027_20241115_Su,20241027,2
3002P3_20241007_20241026_Pe,20241011,2
3002U_20240930_20241026_To,20241017,2
4570_20241007_20241115_La,20241026,2
4600_20240917_20241027_La,20241026,2
4623_20240917_20241027_La,20241026,2
7191_20241021_20241115_La,20241102,2
7191_20241021_20241115_Su,20241102,1
7191A_20241021_20241115_La,20241102,2
7191A_20241021_20241115_Su,20241102,1
7192_20240917_20241115_La,20241102,2
7192_20240917_20241115_Su,20241102,1
7192KM_20240917_20241115_La,20241102,2
7192KM_20240917_20241115_Su,20241102,1
7192M_20240917_20241115_La,20241102,2
7192M_20240917_20241115_Su,20241102,1
7192V_20240917_20241115_La,20241102,2
7192V_20240917_20241115_Su,20241102,1
7282_20240917_20241115_La,20241102,2
7282_20240917_20241115_Su,20241102,1
7375_20240917_20241115_La,20241102,2
7375_20240917_20241115_Su,20241102,1
7455_20240917_20241115_La,20241102,2
7455A_20240917_20241115_La,20241102,2
7456_20240917_20241115_La,20241102,2
7456A_20240917_20241115_Su,20241102,1
7456N_20240917_20241115_La,20241102,2
7456N_20240917_20241115_Su,20241102,1
7457_20240917_20241115_Su,20241102,1
7457A_20240917_20241115_La,20241102,2
7457A_20240917_20241115_Su,20241102,1
7465_20240917_20241115_La,20241102,2
7465_20240917_20241115_Su,20241102,1
7848_20240917_20241115_La,20241102,2
7848_20240917_20241115_Su,20241102,1
