route_id,agency_id,route_short_name,Type,avg_co2_per_vehicle_per_km,avg_passenger_count
1001,HSL,1,tram,0,25
1001H,HSL,1H,tram,0,25
1002,HSL,2,tram,0,25
1002B,HSL,2B,tram,0,25
1002H,HSL,2H,tram,0,25
1003,HSL,3,tram,0,25
1003H,HSL,3H,tram,0,25
1004,HSL,4,tram,0,25
1004H,HSL,4H,tram,0,25
1004T,HSL,4T,tram,0,25
1005,HSL,5,tram,0,25
1005H,HSL,5H,tram,0,25
1006,HSL,6,tram,0,25
1006H,HSL,6H,tram,0,25
1007,HSL,7,tram,0,25
1007H,HSL,7H,tram,0,25
1008,HSL,8,tram,0,25
1008H,HSL,8H,tram,0,25
1009,HSL,9,tram,0,25
1009H,HSL,9H,tram,0,25
1009N,HSL,9N,tram,0,25
1010,HSL,10,tram,0,25
1010H,HSL,10H,tram,0,25
1016,HSL,16,A-bus,1100,11
1020,HSL,20,D-bus,0,18
1021,HSL,21,A-bus,1100,11
1021N,HSL,21N,A-bus,1100,11
1022,HSL,22,A-bus,1100,11
1022B,HSL,22B,A-bus,1100,11
1023,HSL,23,A-bus,0,11
1024,HSL,24,A-bus,0,11
1025,HSL,25,A-bus,0,11
1026,HSL,26,M-bus,230,1.5
1030,HSL,30,D-bus,0,18
1031,HSL,31,M-bus,230,1.5
1032,HSL,32,M-bus,230,1.5
1033,HSL,33,M-bus,230,1.5
1034,HSL,34,M-bus,230,1.5
1035,HSL,35,M-bus,230,1.5
1036,HSL,36,M-bus,230,1.5
1037,HSL,37,A-bus,0,11
1040,HSL,40,D-bus,0,18
1041,HSL,41,A-bus,0,11
1042,HSL,42,A-bus,0,11
1052,HSL,52,A-bus,0,11
1053,HSL,53,A-bus,0,11
1054,HSL,54,C-bus,1300,14
1055,HSL,55,A-bus,0,11
1056,HSL,56,A-bus,0,11
1057,HSL,57,C-bus,0,14
1059,HSL,59,C-bus,0,14
1061,HSL,61,C-bus,1300,14
1061N,HSL,61N,C-bus,1300,14
1063,HSL,63,C-bus,1300,14
1064,HSL,64,C-bus,1300,14
1065,HSL,65,C-bus,1300,14
1066,HSL,66,C-bus,1300,14
1067,HSL,67,C-bus,1300,14
1067N,HSL,67N,C-bus,1300,14
1069,HSL,69,A-bus,1100,11
1070,HSL,70,A-bus,1100,11
1071,HSL,71,C-bus,1300,14
1073,HSL,73,C-bus,1300,14
1073N,HSL,73N,C-bus,1300,14
1074,HSL,74,C-bus,1300,14
1074N,HSL,74N,C-bus,1300,14
1075,HSL,75,C-bus,1300,14
1077,HSL,77,C-bus,0,14
1077N,HSL,77N,C-bus,1300,14
1078,HSL,78,C-bus,1300,14
1078N,HSL,78N,C-bus,1300,14
1079,HSL,79,C-bus,0,14
1079B,HSL,79B,A-bus,1100,11
1079N,HSL,79N,C-bus,0,14
1080,HSL,80,A-bus,0,11
1081,HSL,81,A-bus,0,11
1082,HSL,82,A-bus,0,11
1082B,HSL,82B,A-bus,0,11
1083,HSL,83,A-bus,0,11
1084,HSL,84,C-bus,0,14
1085,HSL,85,C-bus,0,14
1085B,HSL,85B,A-bus,0,11
1085K,HSL,85K,A-bus,0,11
1085N,HSL,85N,C-bus,0,14
1086,HSL,86,A-bus,0,11
1086K,HSL,86K,C-bus,0,14
1086N,HSL,86N,C-bus,0,14
1087,HSL,87,C-bus,0,14
1087N,HSL,87N,C-bus,0,14
1088,HSL,88,C-bus,0,14
1089,HSL,89,C-bus,0,14
1090,HSL,90,A-bus,1100,11
1090A,HSL,90A,A-bus,1100,11
1090N,HSL,90N,C-bus,1300,14
1092,HSL,92,A-bus,0,11
1092N,HSL,92N,C-bus,0,14
1094,HSL,94,A-bus,0,11
1094A,HSL,94A,A-bus,0,11
1094B,HSL,94B,M-bus,230,1.5
1094N,HSL,94N,A-bus,0,11
1095,HSL,95,A-bus,0,11
1095N,HSL,95N,C-bus,0,14
1096,HSL,96,A-bus,1100,11
1096N,HSL,96N,C-bus,1300,14
1097,HSL,97,A-bus,0,11
1097N,HSL,97N,C-bus,0,14
1097V,HSL,97V,A-bus,0,11
1098,HSL,98,A-bus,0,11
1500,HSL,500,C-bus,0,14
1506,HSL,506,A-bus,1100,11
1603,HSL,603,M-bus,230,1.5
1701,HSL,701,M-bus,230,1.5
1702,HSL,702,M-bus,230,1.5
1704,HSL,704,M-bus,230,1.5
1802,HSL,802,M-bus,230,1.5
1805,HSL,805,M-bus,230,1.5
1812,HSL,812,M-bus,230,1.5
1813,HSL,813,M-bus,230,1.5
1814,HSL,814,M-bus,230,1.5
1815,HSL,815,M-bus,230,1.5
1816,HSL,816,M-bus,230,1.5
1817,HSL,817,M-bus,230,1.5
1818,HSL,818,M-bus,230,1.5
1831,HSL,831,A-bus,0,11
1831K,HSL,831K,A-bus,0,11
1839,HSL,839,M-bus,230,1.5
1839K,HSL,839K,M-bus,230,1.5
2015,HSL,15,tram,0,25
2105,HSL,105,A-bus,1100,11
2108N,HSL,108N,A-bus,1100,11
2111,HSL,111,A-bus,1100,11
2112N,HSL,112N,C-bus,1300,14
2113,HSL,113,A-bus,1100,11
2113N,HSL,113N,A-bus,1100,11
2114,HSL,114,A-bus,1100,11
2114N,HSL,114N,A-bus,1100,11
2116,HSL,116,M-bus,230,1.5
