trans_id,lang,translation
"Veräjänkorva",fi,"Veräjänkorva"
"Päivänsalontie",fi,"Päivänsalontie"
"Vallirinne",fi,"Vallirinne"
"Pasilanraitio",sv,"Böletået"
"Rautatientori - Hyrylä - Järvenpää - Kellokoski",sv,"Skavaböle - Träskända - Mariefors"
"Drusibackantie",fi,"Drusibackantie"
"Perttiläntie",sv,"Perttiläntie"
"Munkkivuoresta Rakuunantielle",fi,"Munkkivuoresta Rakuunantielle"
"Yliskylä",fi,"Yliskylä"
"Kointähdentie",fi,"Kointähdentie"
"Keravan terv.keskus",fi,"Keravan terv.keskus"
"G. Pauligin katu",sv,"G. Pauligs gata"
"Verkkosaarenkuja",sv,"Nätholmsgränden"
"Kirstinsyrjä",sv,"Kirstibrinken"
"Traverssikuja",sv,"Traversgränden"
"Aurinkotuulenkatu 11",sv,"Solvindsgatan 11"
"Thurmannin P:tie 6",sv,"Thurmansallen 6"
"Olari (Latokaski-)",sv,"Olars (Ladusved-)"
"Uurtajantie",fi,"Uurtajantie"
"Myrskyläntie",sv,"Mörskomvägen"
"Pohj. Makasiinikatu",fi,"Pohj. Makasiinikatu"
"Rantakukankuja",fi,"Rantakukankuja"
"Viikinm. puhdistamo",sv,"Viksb. reningsverk"
"Karamäki",sv,"Karabacken"
"Ratsastuskoulu",sv,"Ratsastuskoulu"
"Massbyntie",fi,"Massbyntie"
"Paciuksenkaari",fi,"Paciuksenkaari"
"Hyttimestari",fi,"Hyttimestari"
"Nummelantie",fi,"Nummelantie"
"Tienhaara",fi,"Tienhaara"
"Laajasalontie",sv,"Degerövägen"
"Siikaniemi",sv,"Siknäs"
"Ruusumäentie",sv,"Rosbackavägen"
"Sepelbergen",sv,"Sepelbergen"
"Eliel-Kalajärvi",fi,"Eliel-Kalajärvi"
"Eliel-Lentosema",fi,"Eliel-Lentosema"
"Elielinaukio - Leppävaara - Lintuvaara - Vanhakartano",sv,"Elielplatsen - Alberga - Fågelberga - Gammelgård"
"Munkkin. uimaranta",fi,"Munkkin. uimaranta"
"Redi",sv,"Redi"
"Nuottaniemi",sv,"Notudden"
"Kraatz",sv,"Kraatz"
"Lapinmäentie",fi,"Lapinmäentie"
"Hiidenkiukaantie 6",fi,"Hiidenkiukaantie 6"
"Lasilaakso 3",sv,"Glasdalen 3"
"Helsinki-Tapanila",sv,"Helsingfors-Mosabacka"
"Munkkiv.-Ritolehto",sv,"Munkshöjden-Ritolund"
"Luoma - Masala - Jorvaksentie - Hirsala",fi,"Luoma - Masala - Jorvaksentie - Hirsala"
"Malminkaari",fi,"Malminkaari"
"Leinelä-Hki",fi,"Leinelä-Hki"
"Kampintori",sv,"Kamptorget"
"Pengerpolku",sv,"Terrasstigen"
"Majavatie 14",sv,"Bävervägen 14"
"Turunväylä-Tuomarila",fi,"Turunväylä-Tuomarila"
"Kirkkonummi - Gesterby - Kantvik",fi,"Kirkkonummi - Gesterby - Kantvik"
"Lahdenpohja",sv,"Lahdenpohja"
"Kimmeltie",sv,"Glimmervägen"
"Akselinpolku",sv,"Axelsstigen"
"Koivunoksa",sv,"Koivunoksa"
"Jönsaksentie 6",fi,"Jönsaksentie 6"
"Hitsaajankatu 14",sv,"Svetsargatan 14"
"Laukkoskenniitty",sv,"Lövkoskängen"
"Kauppatori - Suomenlinna",fi,"Kauppatori - Suomenlinna"
"Säteritilankatu",fi,"Säteritilankatu"
"Mäenrinne",sv,"Backliden"
"Ooppera-Arabia",sv,"Operan-Arabia"
"Damsinrinne",sv,"Damsbranten"
"Vähä-Laukkoski",sv,"Vähä-Laukkoski"
"Patterikuja",fi,"Patterikuja"
"Mankki",fi,"Mankki"
"Leiritie",sv,"Lägervägen"
"Vuorimiehentie",sv,"Bergsmansvägen"
"Hakaniemi-Malmink",fi,"Hakaniemi-Malmink"
"Leppävaara - Mäkkylä - Pitäjänmäki - Pajamäki",sv,"Alberga - Mäkkylä - Sockenbacka - Smedjebacka"
"Tiensivu",fi,"Tiensivu"
"Energiakatu",sv,"Energigatan"
"Högbacka",sv,"Högbacka"
"Merivirta",fi,"Merivirta"
"Kirkkonummi, lait 9",sv,"Kyrkslätt, pf. 9"
"Palttinatie",fi,"Palttinatie"
"Kuninkaantammenaukio",sv,"Kungseksplatsen"
"Kotinummentie 3",fi,"Kotinummentie 3"
"Hniemi(M)-Tammisalo",fi,"Hniemi(M)-Tammisalo"
"Ohrakuja",fi,"Ohrakuja"
"Paratiisikuja",fi,"Paratiisikuja"
"Paroninkuja",sv,"Barongränden"
"Aalto-yliopiston metroasema",fi,"Aalto-yliopiston metroasema"
"Soukan metroasema",fi,"Soukan metroasema"
"Punavuori-Ruoholahti(M)-Salmisaari-Lauttasaari(M)-Katajah.",sv,"Rödbergen-Gräsviken(M)-Sundholmen-Drumsö(M)-Enåsen"
"Ruskeasuon koulu",fi,"Ruskeasuon koulu"
"Vanhempientie",fi,"Vanhempientie"
"Saunalahden koulu",fi,"Saunalahden koulu"
"Vidarinkuja",fi,"Vidarinkuja"
"Syväjärvi",fi,"Syväjärvi"
"Virmajuurentie",sv,"Vendelörtsvägen"
"Eriksnäs-Söderkulla-Massby-Hindsby-Nikkilä",fi,"Eriksnäs-Söderkulla-Massby-Hindsby-Nikkilä"
"Taikurintie",fi,"Taikurintie"
"Perämiehenkatu 5",fi,"Perämiehenkatu 5"
"Kanavakatu",fi,"Kanavakatu"
"Vallikallionkuja",sv,"Vallbergsgränden"
"Hakunilan koulu",sv,"Hakunilan koulu"
"Ratapihantie 13",fi,"Ratapihantie 13"
"Vanha valtatie",sv,"Vanha valtatie"
"Martinl-Myyrm",sv,"Mårtensd-Myrb"
"Herttoniemi (M) - Roihuvuori - Itäkeskus (M)",sv,"Hertonäs (M) - Kasberget - Östra centrum (M)"
"Kivijatapolku",fi,"Kivijatapolku"
"Kiviruukki",fi,"Kiviruukki"
"Haapaniemi",sv,"Aspnäs"
"Töölön sairaala",sv,"Tölö sjukhus"
"Hernetie",sv,"Ärtvägen"
"Sillankulma",sv,"Brohörnet"
"Espoonlahti (M), l. 4",sv,"Esboviken (M), pf. 4"
"Rautatientori-Kuninkaanmäki-Nikkilä-Pornainen",sv,"Järnvägstorget-Kungsbacka-Nickby-Borgnäs"
"Mattaksenkuja",fi,"Mattaksenkuja"
"Vanhankylän kartano",fi,"Vanhankylän kartano"
"Haapanatie",sv,"Bläsandsvägen"
"Gransinmäki",sv,"Gransbacken"
"Sturenkatu 38",fi,"Sturenkatu 38"
"Länsituuli",sv,"Västanvinden"
"Kauklahti - Masala - Kirkkonummi",fi,"Kauklahti - Masala - Kirkkonummi"
"Pasila",fi,"Pasila"
"Koivu-Mankkaan tie",fi,"Koivu-Mankkaan tie"
"Kamppi- Latokaski",fi,"Kamppi- Latokaski"
"Maamonlahdentie",fi,"Maamonlahdentie"
"Ruukinranta",sv,"Brukstranden"
"Lehmuslehdontie",sv,"Lehmuslehdontie"
"Karaniityntie",fi,"Karaniityntie"
"Annilantie",sv,"Andbyvägen"
