service_id,date,exception_type
GH_D4-Sunday,20241229,2
GH_D4-Sunday,20240902,1
GH_D4-Sunday,20241128,1
GH_D4-Sunday,20241225,1
GH_D4-Sunday,20250101,1
GH_D4-Weekday-SDon,20241014,2
GH_D4-Weekday-SDon-BM,20241013,2
GH_D4-Weekday-SDon,20241128,2
GH_D4-Weekday-SDon-BM,20241127,2
GH_D4-Weekday-SDon,20241129,2
GH_D4-Weekday-SDon-BM,20241128,2
GH_D4-Weekday-SDon,20241224,2
GH_D4-Weekday-SDon-BM,20241223,2
GH_D4-Weekday-SDon,20241225,2
GH_D4-Weekday-SDon-BM,20241224,2
GH_D4-Weekday-SDon,20241226,2
GH_D4-Weekday-SDon-BM,20241225,2
GH_D4-Weekday-SDon,20241227,2
GH_D4-Weekday-SDon-BM,20241226,2
GH_D4-Weekday-SDon,20241230,2
GH_D4-Weekday-SDon-BM,20241229,2
GH_D4-Weekday-SDon,20241231,2
GH_D4-Weekday-SDon-BM,20241230,2
GH_D4-Weekday-SDon,20250101,2
GH_D4-Weekday-SDon-BM,20241231,2
GH_D4-Weekday-SDon,20240903,2
GH_D4-Weekday-SDon-BM,20240902,2
GH_D4-Weekday-SDon,20240904,2
GH_D4-Weekday-SDon-BM,20240903,2
GH_D4-Weekday-SDon,20241003,2
GH_D4-Weekday-SDon-BM,20241002,2
GH_D4-Weekday-SDon,20241004,2
GH_D4-Weekday-SDon-BM,20241003,2
GH_D4-Weekday-SDon,20241101,2
GH_D4-Weekday-SDon-BM,20241031,2
GH_D4-Weekday-SDon,20241105,2
GH_D4-Weekday-SDon-BM,20241104,2
GH_D4-Weekday-SDon,20241111,2
GH_D4-Weekday-SDon-BM,20241110,2
GH_D4-Weekday,20240903,1
GH_D4-Weekday-BM,20240902,1
GH_D4-Weekday,20240904,1
GH_D4-Weekday-BM,20240903,1
GH_D4-Weekday,20241003,1
GH_D4-Weekday-BM,20241002,1
GH_D4-Weekday,20241004,1
GH_D4-Weekday-BM,20241003,1
GH_D4-Weekday,20241101,1
GH_D4-Weekday-BM,20241031,1
GH_D4-Weekday,20241105,1
GH_D4-Weekday-BM,20241104,1
GH_D4-Weekday,20241111,1
GH_D4-Weekday-BM,20241110,1
GH_D4-Saturday,20241228,2
GH_O4-Weekday,20241015,2
GH_O4-Weekday-BM,20241014,2
GH_O4-Weekday,20241016,2
GH_O4-Weekday-BM,20241015,2
GH_O4-Weekday,20241017,2
GH_O4-Weekday-BM,20241016,2
GH_O4-Weekday,20241018,2
GH_O4-Weekday-BM,20241017,2
GH_O4-Weekday,20241021,2
GH_O4-Weekday-BM,20241020,2
GH_O4-Weekday,20241022,2
GH_O4-Weekday-BM,20241021,2
GH_O4-Weekday,20241023,2
GH_O4-Weekday-BM,20241022,2
GH_O4-Weekday,20241024,2
GH_O4-Weekday-BM,20241023,2
GH_O4-Weekday,20241025,2
GH_O4-Weekday-BM,20241024,2
GH_O4-Weekday,20241028,2
GH_O4-Weekday-BM,20241027,2
GH_O4-Weekday,20241029,2
GH_O4-Weekday-BM,20241028,2
GH_O4-Weekday,20241030,2
GH_O4-Weekday-BM,20241029,2
GH_O4-Weekday,20241031,2
GH_O4-Weekday-BM,20241030,2
GH_O4-Weekday,20241101,2
GH_O4-Weekday-BM,20241031,2
GH_O4-Weekday,20241104,2
GH_O4-Weekday-BM,20241103,2
GH_O4-Weekday,20241105,2
GH_O4-Weekday-BM,20241104,2
GH_O4-Weekday,20241106,2
GH_O4-Weekday-BM,20241105,2
GH_O4-Weekday,20241107,2
GH_O4-Weekday-BM,20241106,2
GH_O4-Weekday,20241108,2
GH_O4-Weekday-BM,20241107,2
GH_O4-Weekday,20241111,2
GH_O4-Weekday-BM,20241110,2
GH_O4-Weekday,20241112,2
GH_O4-Weekday-BM,20241111,2
GH_O4-Weekday,20241113,2
GH_O4-Weekday-BM,20241112,2
GH_O4-Weekday,20241114,2
GH_O4-Weekday-BM,20241113,2
GH_O4-Weekday,20241115,2
GH_O4-Weekday-BM,20241114,2
GH_O4-Weekday,20241118,2
GH_O4-Weekday-BM,20241117,2
GH_O4-Weekday,20241119,2
GH_O4-Weekday-BM,20241118,2
GH_O4-Weekday,20241120,2
GH_O4-Weekday-BM,20241119,2
GH_O4-Weekday,20241121,2
GH_O4-Weekday-BM,20241120,2
GH_O4-Weekday,20241122,2
GH_O4-Weekday-BM,20241121,2
GH_O4-Weekday,20241125,2
GH_O4-Weekday-BM,20241124,2
GH_O4-Weekday,20241126,2
GH_O4-Weekday-BM,20241125,2
GH_O4-Weekday,20241127,2
GH_O4-Weekday-BM,20241126,2
GH_O4-Weekday,20241128,2
GH_O4-Weekday-BM,20241127,2
GH_O4-Weekday,20241202,2
GH_O4-Weekday-BM,20241201,2
GH_O4-Weekday,20241203,2
GH_O4-Weekday-BM,20241202,2
GH_O4-Weekday,20241204,2
GH_O4-Weekday-BM,20241203,2
GH_O4-Weekday,20241205,2
GH_O4-Weekday-BM,20241204,2
GH_O4-Weekday,20241206,2
GH_O4-Weekday-BM,20241205,2
GH_O4-Weekday,20241209,2
GH_O4-Weekday-BM,20241208,2
GH_O4-Weekday,20241210,2
GH_O4-Weekday-BM,20241209,2
GH_O4-Weekday,20241211,2
GH_O4-Weekday-BM,20241210,2
GH_O4-Weekday,20241212,2
GH_O4-Weekday-BM,20241211,2
GH_O4-Weekday,20241213,2
GH_O4-Weekday-BM,20241212,2
GH_O4-Weekday,20241216,2
GH_O4-Weekday-BM,20241215,2
GH_O4-Weekday,20241217,2
GH_O4-Weekday-BM,20241216,2
GH_O4-Weekday,20241218,2
GH_O4-Weekday-BM,20241217,2
GH_O4-Weekday,20241219,2
GH_O4-Weekday-BM,20241218,2
GH_O4-Weekday,20241220,2
GH_O4-Weekday-BM,20241219,2
GH_O4-Weekday,20241223,2
GH_O4-Weekday-BM,20241222,2
GH_O4-Weekday,20241225,2
GH_O4-Weekday-BM,20241224,2
GH_O4-Weekday,20241228,1
GH_O4-Weekday-BM,20241227,1
GH_O4-Weekday,20241229,1
GH_O4-Weekday-BM,20241228,1
KB_D4-Sunday,20241229,2
KB_D4-Sunday,20240902,1
KB_D4-Sunday,20241128,1
KB_D4-Sunday,20241225,1
KB_D4-Sunday,20250101,1
KB_D4-Weekday-SDon,20241014,2
KB_D4-Weekday-SDon,20241128,2
KB_D4-Weekday-SDon,20241129,2
KB_D4-Weekday-SDon,20241224,2
KB_D4-Weekday-SDon,20241225,2
KB_D4-Weekday-SDon,20241226,2
KB_D4-Weekday-SDon,20241227,2
KB_D4-Weekday-SDon,20241230,2
KB_D4-Weekday-SDon,20241231,2
