service_id,date,exception_type
EN_D4-Sunday,20241229,2
EN_D4-Sunday,20240902,1
EN_D4-Sunday,20241128,1
EN_D4-Sunday,20241225,1
EN_D4-Sunday,20250101,1
EN_D4-Weekday,20240905,2
EN_D4-Weekday,20240906,2
EN_D4-Weekday,20240909,2
EN_D4-Weekday,20240910,2
EN_D4-Weekday,20240911,2
EN_D4-Weekday,20240912,2
EN_D4-Weekday,20240913,2
EN_D4-Weekday,20240916,2
EN_D4-Weekday,20240917,2
EN_D4-Weekday,20240918,2
EN_D4-Weekday,20240919,2
EN_D4-Weekday,20240920,2
EN_D4-Weekday,20240923,2
EN_D4-Weekday,20240924,2
EN_D4-Weekday,20240925,2
EN_D4-Weekday,20240926,2
EN_D4-Weekday,20240927,2
EN_D4-Weekday,20240930,2
EN_D4-Weekday,20241001,2
EN_D4-Weekday,20241002,2
EN_D4-Weekday,20241007,2
EN_D4-Weekday,20241008,2
EN_D4-Weekday,20241009,2
EN_D4-Weekday,20241010,2
EN_D4-Weekday,20241011,2
EN_D4-Weekday,20241014,2
EN_D4-Weekday,20241015,2
EN_D4-Weekday,20241016,2
EN_D4-Weekday,20241017,2
EN_D4-Weekday,20241018,2
EN_D4-Weekday,20241021,2
EN_D4-Weekday,20241022,2
EN_D4-Weekday,20241023,2
EN_D4-Weekday,20241024,2
EN_D4-Weekday,20241025,2
EN_D4-Weekday,20241028,2
EN_D4-Weekday,20241029,2
EN_D4-Weekday,20241030,2
EN_D4-Weekday,20241031,2
EN_D4-Weekday,20241104,2
EN_D4-Weekday,20241106,2
EN_D4-Weekday,20241107,2
EN_D4-Weekday,20241108,2
EN_D4-Weekday-SDon,20241003,2
EN_D4-Weekday-SDon,20241004,2
EN_D4-Weekday-SDon,20241014,2
EN_D4-Weekday-SDon,20241101,2
EN_D4-Weekday-SDon,20241105,2
EN_D4-Weekday-SDon,20241111,2
EN_D4-Weekday-SDon,20241128,2
EN_D4-Weekday-SDon,20241129,2
EN_D4-Weekday-SDon,20241224,2
EN_D4-Weekday-SDon,20241225,2
EN_D4-Weekday-SDon,20241226,2
EN_D4-Weekday-SDon,20241227,2
EN_D4-Weekday-SDon,20241230,2
EN_D4-Weekday-SDon,20241231,2
EN_D4-Weekday-SDon,20250101,2
EN_D4-Saturday,20241228,2
EN_O4-Weekday,20241015,2
EN_O4-Weekday,20241016,2
EN_O4-Weekday,20241017,2
EN_O4-Weekday,20241018,2
EN_O4-Weekday,20241021,2
EN_O4-Weekday,20241022,2
EN_O4-Weekday,20241023,2
EN_O4-Weekday,20241024,2
EN_O4-Weekday,20241025,2
EN_O4-Weekday,20241028,2
EN_O4-Weekday,20241029,2
EN_O4-Weekday,20241030,2
EN_O4-Weekday,20241031,2
EN_O4-Weekday,20241101,2
EN_O4-Weekday,20241104,2
EN_O4-Weekday,20241105,2
EN_O4-Weekday,20241106,2
EN_O4-Weekday,20241107,2
EN_O4-Weekday,20241108,2
EN_O4-Weekday,20241111,2
EN_O4-Weekday,20241112,2
EN_O4-Weekday,20241113,2
EN_O4-Weekday,20241114,2
EN_O4-Weekday,20241115,2
EN_O4-Weekday,20241118,2
EN_O4-Weekday,20241119,2
EN_O4-Weekday,20241120,2
EN_O4-Weekday,20241121,2
EN_O4-Weekday,20241122,2
EN_O4-Weekday,20241125,2
EN_O4-Weekday,20241126,2
EN_O4-Weekday,20241127,2
EN_O4-Weekday,20241128,2
EN_O4-Weekday,20241202,2
EN_O4-Weekday,20241203,2
EN_O4-Weekday,20241204,2
EN_O4-Weekday,20241205,2
EN_O4-Weekday,20241206,2
EN_O4-Weekday,20241209,2
EN_O4-Weekday,20241210,2
EN_O4-Weekday,20241211,2
EN_O4-Weekday,20241212,2
EN_O4-Weekday,20241213,2
EN_O4-Weekday,20241216,2
EN_O4-Weekday,20241217,2
EN_O4-Weekday,20241218,2
EN_O4-Weekday,20241219,2
EN_O4-Weekday,20241220,2
EN_O4-Weekday,20241223,2
EN_O4-Weekday,20241225,2
EN_O4-Weekday,20241228,1
EN_O4-Weekday,20241229,1
FB_D4-Sunday,20241229,2
FB_D4-Sunday,20240902,1
FB_D4-Sunday,20241128,1
FB_D4-Sunday,20241225,1
FB_D4-Sunday,20250101,1
FB_D4-Weekday,20240905,2
FB_D4-Weekday,20240906,2
FB_D4-Weekday,20240909,2
FB_D4-Weekday,20240910,2
FB_D4-Weekday,20240911,2
FB_D4-Weekday,20240912,2
FB_D4-Weekday,20240913,2
FB_D4-Weekday,20240916,2
FB_D4-Weekday,20240917,2
FB_D4-Weekday,20240918,2
FB_D4-Weekday,20240919,2
FB_D4-Weekday,20240920,2
FB_D4-Weekday,20240923,2
FB_D4-Weekday,20240924,2
FB_D4-Weekday,20240925,2
FB_D4-Weekday,20240926,2
