route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
S40,CA_S4-Weekday,CA_S4-Weekday-006000_S4090_1,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35705596,S400038
S40,CA_S4-Weekday,CA_S4-Weekday-012000_S4090_3,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35705598,S400038
S40,CA_S4-Weekday,CA_S4-Weekday-018000_S4090_2,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35705597,S400038
S40,CA_S4-Weekday,CA_S4-Weekday-024000_S4090_1,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35705596,S400038
S40,CA_S4-Weekday,CA_S4-Weekday-030000_S4090_5,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35705667,S400038
S40,CA_S4-Weekday,CA_S4-Weekday-033000_MISC_206,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35705605,S400038
S40,CA_S4-Weekday,CA_S4-Weekday-036000_S4090_4,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35705608,S400038
S40,CA_S4-Weekday,CA_S4-Weekday-039000_MISC_225,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35705610,S400038
S40,CA_S4-Weekday,CA_S4-Weekday-040500_S4090_5,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35705667,S400038
S40,CA_S4-Weekday,CA_S4-Weekday-042000_S4090_6,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35705604,S400038
S40,CA_S4-Weekday,CA_S4-Weekday-043500_MISC_206,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35705605,S400038
S40,CA_S4-Weekday,CA_S4-Weekday-048000_S4090_3,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35705602,S400038
S40,CA_S4-Weekday,CA_S4-Weekday-050000_MISC_252,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35705600,S400038
S40,CA_S4-Weekday,CA_S4-Weekday-054000_MISC_245,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35705627,S400038
S40,CA_S4-Weekday,CA_S4-Weekday-056000_MISC_231,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35705668,S400038
S40,CA_S4-Weekday,CA_S4-Weekday-058000_S4090_5,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35705669,S400038
S40,CA_S4-Weekday,CA_S4-Weekday-060000_MISC_210,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35705611,S400038
S40,CA_S4-Weekday,CA_S4-Weekday-062000_MISC_287,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35705603,S400038
S40,CA_S4-Weekday,CA_S4-Weekday-064000_MISC_301,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35705742,S400038
S40,CA_S4-Weekday,CA_S4-Weekday-066000_S4090_6,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35705612,S400038
S40,CA_S4-Weekday,CA_S4-Weekday-068000_S4090_5,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35705669,S400038
S40,CA_S4-Weekday,CA_S4-Weekday-070000_MISC_210,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35705611,S400038
S40,CA_S4-Weekday,CA_S4-Weekday-072000_MISC_303,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35705774,S400038
S40,CA_S4-Weekday,CA_S4-Weekday-074000_MISC_301,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35705742,S400038
S40,CA_S4-Weekday,CA_S4-Weekday-076000_S4090_6,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35705612,S400038
S40,CA_S4-Weekday,CA_S4-Weekday-078000_MISC_269,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35705820,S400038
S40,CA_S4-Weekday,CA_S4-Weekday-080000_MISC_266,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35705713,S400038
S40,CA_S4-Weekday,CA_S4-Weekday-082000_MISC_303,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35705774,S400038
S40,CA_S4-Weekday,CA_S4-Weekday-084000_MISC_329,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35705613,S400038
S40,CA_S4-Weekday,CA_S4-Weekday-087000_S4090_7,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35705745,S400038
S40,CA_S4-Weekday,CA_S4-Weekday-088500_MISC_269,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35705820,S400038
S40,CA_S4-Weekday,CA_S4-Weekday-090000_MISC_351,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35705614,S400038
S40,CA_S4-Weekday,CA_S4-Weekday-099300_MISC_351,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35705614,S400038
S40,CA_S4-Weekday,CA_S4-Weekday-093300_MISC_338,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35705789,S400038
S40,CA_S4-Weekday,CA_S4-Weekday-094500_MISC_329,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35705613,S400038
S40,CA_S4-Weekday,CA_S4-Weekday-096300_MISC_364,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35705616,S400038
S40,CA_S4-Weekday,CA_S4-Weekday-097800_MISC_369,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35705617,S400038
S40,CA_S4-Weekday,CA_S4-Weekday-101300_MISC_338,ARLINGTON SOUTH AV ARLINGTON PL,1,35705789,S400032
S40,CA_S4-Weekday,CA_S4-Weekday-105300_MISC_367,ARLINGTON SOUTH AV ARLINGTON PL,1,35705618,S400032
S40,CA_S4-Weekday,CA_S4-Weekday-108300_MISC_369,ARLINGTON SOUTH AV ARLINGTON PL,1,35705617,S400032
S40,CA_S4-Weekday,CA_S4-Weekday-109800_MISC_351,ARLINGTON SOUTH AV ARLINGTON PL,1,35705614,S400032
S40,CA_S4-Weekday,CA_S4-Weekday-111000_MISC_360,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35705638,S400038
S40,CA_S4-Weekday,CA_S4-Weekday-112800_MISC_355,ARLINGTON SOUTH AV ARLINGTON PL,1,35705615,S400032
S90,CA_S4-Weekday,CA_S4-Weekday-101000_MISC_360,LTD MATRIX PK via RICH TERR via GULF AV,1,35705638,S900026
S90,CA_S4-Weekday,CA_S4-Weekday-103000_MISC_355,LTD MATRIX PK via RICH TERR via GULF AV,1,35705615,S900026
S90,CA_S4-Weekday,CA_S4-Weekday-105000_MISC_374,LTD MATRIX PK via RICH TERR via GULF AV,1,35705619,S900026
S90,CA_S4-Weekday,CA_S4-Weekday-108000_MISC_300,LTD MATRIX PK via RICH TERR via GULF AV,1,35705621,S900026
S90,CA_S4-Weekday,CA_S4-Weekday-109500_MISC_385,LTD MATRIX PK via RICH TERR via GULF AV,1,35705620,S900026
S90,CA_S4-Weekday,CA_S4-Weekday-112500_MISC_362,LTD MATRIX PK via RICH TERR via GULF AV,1,35705622,S900026
S40,CA_S4-Weekday,CA_S4-Weekday-115800_S4090_7,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35705623,S400038
S40,CA_S4-Weekday,CA_S4-Weekday-117000_MISC_300,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35705621,S400038
S40,CA_S4-Weekday,CA_S4-Weekday-119000_MISC_385,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35705620,S400038
