agency_id,route_id,route_short_name,route_long_name,route_type,route_color,route_text_color
RUT:Authority:RUT,RUT:Line:1,1,Frognerseteren - Bergkrystallen,401,EC700C,FFFFFF
RUT:Authority:RUT,RUT:Line:100,100,Kjeller - Oslo bussterminal,704,E60000,FFFFFF
RUT:Authority:RUT,RUT:Line:11,11,Majorstuen - Grefsen vognhall,902,0B91EF,FFFFFF
RUT:Authority:RUT,RUT:Line:110,110,Lillestrøm - Oslo bussterminal,704,E60000,FFFFFF
RUT:Authority:RUT,RUT:Line:1132,1132,Hølen - Garder - Vestby stasjon,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:12,12,Kjelsås - Majorstuen o/ løkka og Aker Brygge,902,0B91EF,FFFFFF
RUT:Authority:RUT,RUT:Line:120,120,Nesåsen - Stovner,704,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:1210,210A,Bykrysset - Helset- Sandvika,704,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:1215,215A,Kolsås - Vøyenenga- Sandvika,704,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:13,13,Bekkestua - Ljabru,902,0B91EF,FFFFFF
RUT:Authority:RUT,RUT:Line:130,130,Sandvika -Skøyen,704,E60000,FFFFFF
RUT:Authority:RUT,RUT:Line:1331,1331,Siggerud skole,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:1333,1333,Skotbu - Bjastad - Kråkstad skole,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:140,140,Bekkestua - Østerås - Skøyen,704,E60000,FFFFFF
RUT:Authority:RUT,RUT:Line:1431,1431,Kjærnes - Nordby skole,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:1432,1432,Kongeveien - Nordby skole,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:1436,1436,TusenFryd - Nordby skole,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:145,145,Bekkestua - Fornebu,704,E60000,FFFFFF
RUT:Authority:RUT,RUT:Line:150,150,Gullhaug - Nationaltheatret,704,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:1533,1533,Tomter - Klommestein - Heer,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:1571,1571,Ski - Frogn videregående skole,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:1572,1572,Ski - Frogn videregående skole,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:160,160,Rykkinn -Nationaltheatret,704,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:1631,1631,Hellvik - Alværn ungdomsskole,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:1632,1632,Blylaget - Alværn ungdomsskole,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:1671,1671,Fjellstrand - Nesodden vgs,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:1672,1672,Fagerstrand - Fjellstrand - Nesodden vgs.,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:17,17,Rikshospitalet - Sinsen o/ Carl Berner,902,0B91EF,FFFFFF
RUT:Authority:RUT,RUT:Line:18,18,Grefsen st [4311] - Rikshospitalet,902,0B91EF,FFFFFF
RUT:Authority:RUT,RUT:Line:19,19,Ljabru - Majorstuen,902,0B91EF,FFFFFF
RUT:Authority:RUT,RUT:Line:2,2,Østerås - Ellingsrudåsen,401,EC700C,FFFFFF
RUT:Authority:RUT,RUT:Line:20,20,Skøyen - Galgeberg,704,E60000,FFFFFF
RUT:Authority:RUT,RUT:Line:201,201,Sandvika - Jong,704,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:2015,2015,Nesøya - Landøya,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:2018,2018,Undelstad - Torstad,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:202,202,Tanum kirke - Henie Onstad seniorsenter - Sandvika,704,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:203,203,Skui - Sandvika,704,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:2031,31E,Fornebu - Kalbakken,702,E60000,FFFFFF
RUT:Authority:RUT,RUT:Line:2032,2032,Kleiverfeltet - Midtbygda skole,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:2033,2033,Grimsrud -Spikkestad ungdomsskole,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:204,204,Rykkinn - Kolsås - Sandvika,704,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:2041,2041,Folkestad sk- Holmsbu -Rødtangen -Verket,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:2042,2042,Folkestad sk -Kana -Verket- Åsheim -Steinerskolen,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:2043,2043,Åsheimterminalen - Rødtangen-Folkestad sk -Tofte,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:2044,2044,Steinerskolen Hurum - Storsand sentrum - Sagene,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:2045,2045,Sætre - Tofte skole,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:2047,2047,Verket - Mølleveien -Folkestad skole -Sætre,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:205,205,Sandvika - Gjettum,704,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:2056,56B,Nydalen - Grefsenkollen,704,E60000,FFFFFF
RUT:Authority:RUT,RUT:Line:2072,2072,Grimsrud - Røyken vgs.,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:2073,2073,Åsheim bussterminal - Tofte -Røyken vgs.,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:2074,2074,Verpen - Røyken vgs.,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:2075,75B,Nordstrand ring,704,E60000,FFFFFF
RUT:Authority:RUT,RUT:Line:2076,2076,Dalbø - Sydskogen- Røyken vgs,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:2077,77B,Holmlia stasjon - Asperudåsen,704,E60000,FFFFFF
RUT:Authority:RUT,RUT:Line:2078,78B,Østensjø ring,704,E60000,FFFFFF
RUT:Authority:RUT,RUT:Line:2079,2079,Sundbykrysset -Morbergtoppen - Røyken vgs.,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:2081,2081,Sundbykrysset -Slemmestad - Åssiden vgs.,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:2082,2082,St.Hallvard -Åsheim bussterminal - Filtvet,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:21,21,Tjuvholmen - Helsfyr T,704,E60000,FFFFFF
RUT:Authority:RUT,RUT:Line:211,211,Bekkestua - Sandvika storsenter,704,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:212,212,Bekkestua - Østerås,704,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:213,213,Bekkestua - Høvik - Sandvika,704,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:2131,2131,Finstadbru - Haneborg skole - Aursmoen skole,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:2132,2132,Aursmoen skole - Ulviken - Haneborg skole,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:2133,2133,Aursmoen skole - Finstadbru - Korsmo,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:2134,2134,Ulviken - Aursmoen skole - Haneborg skole,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:2135,2135,Søndre Mangen - Haneborg skole,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:2137,2137,Harkerud - Aursmoen skole - Bjørkelangen,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:2138,2138,Rømskog - Setskog - Bjørkelangen,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:2139,2139,Bjørkelangen - Smedsrud - Rud - Bjørkelangen,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:214,214,Bekkestua - Lysaker - Ekern - Jernbaneveien,704,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:2140,2140,Bjørkelangen - Liermosen - Mokroken,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:2141,2141,Løken - Momoen - Ovrum - Sjøberg - Løken,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:2142,2142,Smedsrud - Nærby - Nes - Løken,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:2143,2143,Løken - Momoen - Ovrum - Bråte,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:2145,2145,Halvorsrud - Bjørnebråten - Løken - Bråte skole,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:2146,2146,Bråte skole - Sjøberg - Løken - Bjørkelangen,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:2148,2148,Studsrud - Pavestad - Bråte skole,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:2150,2150,Sollum - Fylkesdele - Bråte skole,712,76A300,FFFFFF
