stop_id,stop_name,stop_lat,stop_lon,stop_desc,location_type,parent_station,wheelchair_boarding,vehicle_type,platform_code
NSR:Quay:10000,Løkenåsveien,59.917833,10.965836,,,NSR:StopPlace:5466,,700,
NSR:Quay:10001,Skrytastubben,60.182088,11.264876,,,NSR:StopPlace:5467,,700,
NSR:Quay:10002,Øierudåsen,59.652138,10.660000,,,NSR:StopPlace:5468,,700,
NSR:Quay:10003,Glenneveien,59.919370,10.941887,,,NSR:StopPlace:5469,,700,
NSR:Quay:10004,Skrytastubben,60.181895,11.265010,,,NSR:StopPlace:5467,,700,
NSR:Quay:10005,Glenneveien,59.919508,10.941103,,,NSR:StopPlace:5469,,700,
NSR:Quay:10006,Øierudåsen,59.652062,10.660048,,,NSR:StopPlace:5468,,700,
NSR:Quay:10007,Rasta senter,59.924053,10.938158,,,NSR:StopPlace:5470,,700,
NSR:Quay:10008,Rasta senter,59.923036,10.938687,,,NSR:StopPlace:5470,,700,
NSR:Quay:10014,Skryta,60.177943,11.268319,,,NSR:StopPlace:5474,,700,
NSR:Quay:10015,Skryta,60.177921,11.268121,,,NSR:StopPlace:5474,,700,
NSR:Quay:10016,Røykåsveien,59.927906,10.935270,,,NSR:StopPlace:5475,,700,
NSR:Quay:10017,Røykåsveien,59.928849,10.935382,,,NSR:StopPlace:5475,,700,
NSR:Quay:10020,Njåls vei,59.933613,10.935624,,,NSR:StopPlace:5477,,700,
NSR:Quay:10021,Njåls vei,59.933021,10.934883,,,NSR:StopPlace:5477,,700,
NSR:Quay:10022,Odalen,59.653278,10.647123,,,NSR:StopPlace:5478,,700,
NSR:Quay:10023,Odalen,59.653339,10.647064,,,NSR:StopPlace:5478,,700,
NSR:Quay:10024,Røykås nordre,59.928850,10.931579,,,NSR:StopPlace:5479,,700,
NSR:Quay:10025,Skogveien,59.650712,10.641680,,,NSR:StopPlace:5480,,700,
NSR:Quay:10026,Skogveien,59.650661,10.641603,,,NSR:StopPlace:5480,,700,
NSR:Quay:10027,Austad,60.175249,11.265905,,,NSR:StopPlace:5481,,700,
NSR:Quay:10028,Austad,60.175225,11.266040,,,NSR:StopPlace:5481,,700,
NSR:Quay:10029,Røykås,59.921491,10.932051,,,NSR:StopPlace:5482,,700,
NSR:Quay:10030,Røykås,59.921384,10.931898,,,NSR:StopPlace:5482,,700,
NSR:Quay:10031,Vestbyveien,59.654229,10.637070,,,NSR:StopPlace:5483,,700,
NSR:Quay:10032,Vestbyveien,59.654108,10.637066,,,NSR:StopPlace:5483,,700,
NSR:Quay:100329,Brånåslia,59.993097,11.026811,,,NSR:StopPlace:58603,,700,
NSR:Quay:10033,Sønnaveien,59.915491,10.928966,,,NSR:StopPlace:5484,,700,
NSR:Quay:100330,Brånåslia,59.992771,11.026829,,,NSR:StopPlace:58603,,700,
NSR:Quay:10034,Sønnaveien,59.915536,10.929063,,,NSR:StopPlace:5484,,700,
NSR:Quay:10035,Elleveien,59.644381,10.640685,,,NSR:StopPlace:5485,,700,
NSR:Quay:10036,Kleiva sør,59.914160,10.927427,,,NSR:StopPlace:5486,,700,
NSR:Quay:10037,Kleiva sør,59.913977,10.928044,,,NSR:StopPlace:5486,,700,
NSR:Quay:10038,Havstad,59.773598,10.707971,,,NSR:StopPlace:5487,,700,
NSR:Quay:10039,Muri,60.173683,11.264607,,,NSR:StopPlace:5488,,700,
NSR:Quay:10040,Muri,60.173751,11.264819,,,NSR:StopPlace:5488,,700,
NSR:Quay:10041,Løkenåsfaret,59.918446,10.962355,,,NSR:StopPlace:5489,,700,
NSR:Quay:10042,Solbukta,59.769984,10.708585,,,NSR:StopPlace:5490,,700,
NSR:Quay:10043,Løkenåsfaret,59.918746,10.962175,,,NSR:StopPlace:5489,,700,
NSR:Quay:10044,Slora,59.766978,10.709540,,,NSR:StopPlace:5491,,700,
NSR:Quay:10045,Visperud,59.935317,10.934749,,,NSR:StopPlace:5492,,700,
NSR:Quay:10046,Visperud,59.934982,10.935262,,,NSR:StopPlace:5492,,700,
NSR:Quay:10047,Nedre Glenne,59.759414,10.706024,,,NSR:StopPlace:5493,,700,
NSR:Quay:10048,Visperud,59.936533,10.937088,,,NSR:StopPlace:5494,,700,
NSR:Quay:10049,Stubberud,60.169559,11.263371,,,NSR:StopPlace:5495,,700,
NSR:Quay:10050,Stubberud,60.169519,11.263250,,,NSR:StopPlace:5495,,700,
NSR:Quay:10051,Ullerud,59.666952,10.641463,,,NSR:StopPlace:5496,,700,
NSR:Quay:10052,Ullerud,59.666547,10.643043,,,NSR:StopPlace:5496,,700,
NSR:Quay:10053,Lørenskog stasjon,59.944406,10.944893,,,NSR:StopPlace:5497,,700,
NSR:Quay:10054,Lørenskog stasjon,59.944553,10.944918,,,NSR:StopPlace:5497,,700,
NSR:Quay:10055,Digerud veikryss,59.723502,10.609014,,,NSR:StopPlace:5498,,700,
NSR:Quay:10056,Digerud veikryss,59.724085,10.609360,,,NSR:StopPlace:5498,,700,
NSR:Quay:10057,Strømsbergveien,59.941812,11.002824,,,NSR:StopPlace:5499,,700,
NSR:Quay:10058,Strømsbergveien,59.942992,11.003602,,,NSR:StopPlace:5499,,700,
NSR:Quay:10059,Stasjonsveien,59.945411,11.006404,,,NSR:StopPlace:5500,,700,
NSR:Quay:10060,Digerud gård,59.721591,10.610371,,,NSR:StopPlace:5501,,700,
NSR:Quay:10061,Stasjonsveien,59.945462,11.006667,,,NSR:StopPlace:5500,,700,
NSR:Quay:100614,Brages veg,60.170272,11.139493,,,NSR:StopPlace:58968,,700,
NSR:Quay:100615,Brages veg,60.170443,11.139300,,,NSR:StopPlace:58968,,700,
NSR:Quay:100619,Ørajordet,59.528557,10.689231,,,NSR:StopPlace:58977,,700,
NSR:Quay:100620,Gamlevegen,60.076296,11.128735,,,NSR:StopPlace:5103,,700,
NSR:Quay:100621,Vestby kirke,59.601816,10.731835,i Hvitstenveien,,NSR:StopPlace:4583,,700,
NSR:Quay:100622,Gretes vei,59.599901,10.701622,,,NSR:StopPlace:58978,,700,
NSR:Quay:100623,Gretes vei,59.600082,10.701866,,,NSR:StopPlace:58978,,700,
NSR:Quay:100624,Pepperstadmarka,59.604963,10.709851,,,NSR:StopPlace:58979,,700,
NSR:Quay:100625,Pepperstadmarka,59.604697,10.707255,,,NSR:StopPlace:58979,,700,
NSR:Quay:100627,Son havn nord,59.526289,10.689598,,,NSR:StopPlace:4747,,700,
NSR:Quay:100628,Son havn nord,59.526068,10.689740,,,NSR:StopPlace:4747,,700,
NSR:Quay:10063,Julset,60.162284,11.262419,,,NSR:StopPlace:5502,,700,
NSR:Quay:100632,Fossum snuplass,59.961209,10.621483,,,NSR:StopPlace:58981,,700,
NSR:Quay:100634,Stortorvet,59.913153,10.745149,,,NSR:StopPlace:4160,,900,
NSR:Quay:10064,Julset,60.162098,11.262875,,,NSR:StopPlace:5502,,700,
NSR:Quay:10065,Frydenlundsgata,59.948731,11.010846,,,NSR:StopPlace:5503,,700,
NSR:Quay:10066,Digerud,59.720393,10.617299,,,NSR:StopPlace:5504,,700,
NSR:Quay:100662,Sætreskogen,59.769319,10.819382,,,NSR:StopPlace:58993,,700,
NSR:Quay:10067,Frydenlundsgata,59.948824,11.011015,,,NSR:StopPlace:5503,,700,
NSR:Quay:10068,Digerud,59.720655,10.615328,,,NSR:StopPlace:5504,,700,
NSR:Quay:10069,Huseby,59.692096,10.702129,,,NSR:StopPlace:5505,,700,
NSR:Quay:10070,Frydenbergveien,59.942324,11.014043,,,NSR:StopPlace:5506,,700,
NSR:Quay:10071,Huseby,59.692211,10.702229,,,NSR:StopPlace:5505,,700,
NSR:Quay:10072,Frydenbergveien,59.942200,11.014046,,,NSR:StopPlace:5506,,700,
NSR:Quay:100721,Orderudtoppen,59.968591,11.247052,,,NSR:StopPlace:4274,,700,
NSR:Quay:10073,Stokstadvegen,60.166016,11.261791,,,NSR:StopPlace:5507,,700,
NSR:Quay:10074,Strømmen storsenter,59.946735,11.005825,,,NSR:StopPlace:5508,,700,
NSR:Quay:10075,Billitt,59.690043,10.694099,,,NSR:StopPlace:5509,,700,
NSR:Quay:10076,Stokstadvegen,60.166000,11.261617,,,NSR:StopPlace:5507,,700,
NSR:Quay:10077,Strømmen storsenter,59.947191,11.004873,,,NSR:StopPlace:5508,,700,
NSR:Quay:10078,Billitt,59.690224,10.695046,,,NSR:StopPlace:5509,,700,
NSR:Quay:10079,Strømmen stasjon,59.948911,11.001979,,,NSR:StopPlace:5511,,700,1
NSR:Quay:10080,Tomter,59.687480,10.678641,,,NSR:StopPlace:5510,,700,
NSR:Quay:10081,Strømmen stasjon,59.948828,11.001737,,,NSR:StopPlace:5511,,700,3
NSR:Quay:10082,Tomter,59.687526,10.679722,,,NSR:StopPlace:5510,,700,
NSR:Quay:10083,Strømmen stasjon,59.948870,11.001855,,,NSR:StopPlace:5511,,700,2
NSR:Quay:10084,Strømmen stasjon,59.948796,11.001622,,,NSR:StopPlace:5511,,700,4
NSR:Quay:10085,Skjetten senter,59.967954,10.998875,,,NSR:StopPlace:5512,,700,
NSR:Quay:100855,Fossum snuplass,59.961218,10.621448,,,NSR:StopPlace:58981,,700,
NSR:Quay:10086,Skjetten senter,59.967699,10.999313,,,NSR:StopPlace:5512,,700,
NSR:Quay:10087,Heer,59.685394,10.661070,,,NSR:StopPlace:5513,,700,
NSR:Quay:10088,Skrythagen,60.179509,11.267504,,,NSR:StopPlace:5514,,700,
NSR:Quay:10090,Skrythagen,60.179615,11.267590,,,NSR:StopPlace:5514,,700,
NSR:Quay:10091,Bråtejordet,59.954102,11.001247,,,NSR:StopPlace:5515,,700,
NSR:Quay:10092,Bråtejordet,59.954425,11.000619,,,NSR:StopPlace:5515,,700,
NSR:Quay:10093,Ottarsrud,59.684683,10.667947,,,NSR:StopPlace:5516,,700,
NSR:Quay:10094,Ottarsrud,59.684615,10.668344,,,NSR:StopPlace:5516,,700,
NSR:Quay:10095,Olavsgaard,59.979094,11.001306,,,NSR:StopPlace:5517,,700,6
NSR:Quay:10096,Olavsgaard,59.979142,11.001322,,,NSR:StopPlace:5517,,700,5
NSR:Quay:10097,Olavsgaard,59.979296,11.001383,,,NSR:StopPlace:5517,,700,2
NSR:Quay:10098,Olavsgaard,59.979244,11.001359,,,NSR:StopPlace:5517,,700,3
NSR:Quay:10100,Olavsgaard,59.979037,11.001281,,,NSR:StopPlace:5517,,700,7
NSR:Quay:10102,Olavsgaard,59.979193,11.001340,,,NSR:StopPlace:5517,,700,4
NSR:Quay:10103,Horgen,59.688598,10.732822,,,NSR:StopPlace:5518,,700,
NSR:Quay:10104,Horgen,59.688824,10.733946,,,NSR:StopPlace:5518,,700,
NSR:Quay:10105,Stokstad,60.156384,11.289360,,,NSR:StopPlace:5519,,700,
NSR:Quay:10106,Stokstad,60.156475,11.289240,,,NSR:StopPlace:5519,,700,
NSR:Quay:10107,Svømmehallen,59.961390,10.996462,,,NSR:StopPlace:5520,,700,
NSR:Quay:10108,Svømmehallen,59.961245,10.995963,,,NSR:StopPlace:5520,,700,
NSR:Quay:10109,Horgenmyra,59.686079,10.729077,,,NSR:StopPlace:5521,,700,
NSR:Quay:10110,Horgenmyra,59.685914,10.729123,,,NSR:StopPlace:5521,,700,
NSR:Quay:10111,Hellerud,59.980775,10.973513,,,NSR:StopPlace:5522,,700,
NSR:Quay:10112,Hellerud,59.980562,10.970549,,,NSR:StopPlace:5522,,700,
NSR:Quay:10113,Bakker gård,59.684641,10.717595,,,NSR:StopPlace:5523,,700,
NSR:Quay:10114,Bakker gård,59.684767,10.717641,,,NSR:StopPlace:5523,,700,
NSR:Quay:10115,Hellerudsletta,59.981364,10.980374,,,NSR:StopPlace:5524,,700,
NSR:Quay:10116,Hellerudsletta,59.981553,10.977997,,,NSR:StopPlace:5524,,700,
NSR:Quay:10117,Gosenveien,59.685210,10.725266,,,NSR:StopPlace:5525,,700,
NSR:Quay:10118,Gosenveien,59.685257,10.725003,,,NSR:StopPlace:5525,,700,
NSR:Quay:10119,Berg,60.161432,11.299471,,,NSR:StopPlace:5526,,700,
NSR:Quay:10120,Berg,60.161409,11.299251,,,NSR:StopPlace:5526,,700,
NSR:Quay:10121,Plantasjen,59.981333,10.989128,,,NSR:StopPlace:5527,,700,
NSR:Quay:10122,Plantasjen,59.981151,10.988978,,,NSR:StopPlace:5527,,700,
NSR:Quay:10123,Røed,59.685880,10.705659,,,NSR:StopPlace:5528,,700,
NSR:Quay:10124,Røed,59.685666,10.705713,,,NSR:StopPlace:5528,,700,
NSR:Quay:10126,Gislerud,59.679009,10.663945,,,NSR:StopPlace:5530,,700,
NSR:Quay:10127,Gislerud,59.679477,10.664124,,,NSR:StopPlace:5530,,700,
NSR:Quay:10128,Guldhaug-Tømte,59.960962,10.983230,,,NSR:StopPlace:5531,,700,
NSR:Quay:10129,Dyrløkke,59.673882,10.655692,,,NSR:StopPlace:5532,,700,
NSR:Quay:10130,Dyrløkke,59.673716,10.655590,,,NSR:StopPlace:5532,,700,
NSR:Quay:10131,Jødal,60.168001,11.302652,,,NSR:StopPlace:5533,,700,
NSR:Quay:10132,Jødal,60.168067,11.302515,,,NSR:StopPlace:5533,,700,
NSR:Quay:10133,Nordens vei,59.967755,11.006246,,,NSR:StopPlace:5534,,700,
NSR:Quay:101335,Welhavens gate,59.921521,10.730022,,,NSR:StopPlace:59379,,900,
NSR:Quay:101336,Welhavens gate,59.921537,10.730059,,,NSR:StopPlace:59380,,700,
NSR:Quay:10134,Nordens vei,59.967690,11.006608,,,NSR:StopPlace:5534,,700,
NSR:Quay:10136,Rosbakkløkka,59.667914,10.659445,,,NSR:StopPlace:5535,,700,
NSR:Quay:10137,Solvangen,59.971947,11.007067,,,NSR:StopPlace:5536,,700,
NSR:Quay:10138,Fugleveien,59.666290,10.659804,,,NSR:StopPlace:5537,,700,
NSR:Quay:10139,Tårnbyveien,59.973413,11.004747,,,NSR:StopPlace:5538,,700,
NSR:Quay:10140,Tårnbyveien,59.972841,11.005377,,,NSR:StopPlace:5538,,700,
NSR:Quay:101400,Sars' gate,59.921494,10.771223,,,NSR:StopPlace:59421,,700,
NSR:Quay:101401,Sars' gate,59.921614,10.771708,,,NSR:StopPlace:59421,,700,
NSR:Quay:10141,Trolldalen,59.664630,10.657216,,,NSR:StopPlace:5539,,700,
NSR:Quay:10142,Trolldalen,59.665144,10.658358,,,NSR:StopPlace:5539,,700,
NSR:Quay:10143,Mittun,60.171751,11.305551,,,NSR:StopPlace:5540,,700,
NSR:Quay:10144,Mittun,60.171909,11.305739,,,NSR:StopPlace:5540,,700,
NSR:Quay:10145,Rikard Nordraaks vei,59.962358,10.994841,,,NSR:StopPlace:5541,,700,
