from_stop_id,from_trip_id,to_stop_id,to_trip_id,transfer_type
NSR:Quay:10226,RUT:ServiceJourney:b746f3ceecc5a9726b9e1305eacd3365,NSR:Quay:10221,RUT:ServiceJourney:b718a2fb1b02c47c6c8b11c5dd730a3c,1
NSR:Quay:7787,RUT:ServiceJourney:861dc4f5863ced28dfa7aff09a532fa5,NSR:Quay:7786,RUT:ServiceJourney:178c7c7981f93948d3bc8f424c556e2a,1
NSR:Quay:10221,RUT:ServiceJourney:593bd787f25512687e07c5529db1b312,NSR:Quay:10226,RUT:ServiceJourney:38fe0acbca32a96da8ed98e62bb4758b,1
NSR:Quay:10226,RUT:ServiceJourney:fd71f8e243090531968d1106bbd6cfff,NSR:Quay:10221,RUT:ServiceJourney:f8f6704029c1a6e782a70f560a4a6d17,1
NSR:Quay:7786,RUT:ServiceJourney:5682c32f73d6035364c687d08a4a65cc,NSR:Quay:7786,RUT:ServiceJourney:d4f04e6b421e5af92733ff508ccb9edf,1
NSR:Quay:6812,RUT:ServiceJourney:a72177a92a7e789a2affb7adbe525864,NSR:Quay:6816,RUT:ServiceJourney:a6df8d96f7984536767c1ee6843160fa,1
NSR:Quay:8911,RUT:ServiceJourney:4cf22c4a8ea4fcae57c1a4ce57e8c5bf,NSR:Quay:8911,RUT:ServiceJourney:eb6808337dbc3a0c6db98bc97fbbf43b,1
NSR:Quay:10221,RUT:ServiceJourney:00cf3e580988f0ed54db461c5e6d3ad0,NSR:Quay:10226,RUT:ServiceJourney:a13aaded6016f61215cd5afe117d2a3d,1
NSR:Quay:8252,RUT:ServiceJourney:9f9329210ffca7144bd092291042bd55,NSR:Quay:8252,RUT:ServiceJourney:a457aabc86f62b64f203c54efbf846aa,1
NSR:Quay:7787,RUT:ServiceJourney:064149f4498139eb84956bf2dc54a421,NSR:Quay:7786,RUT:ServiceJourney:52f3d28ed7a562608fe30897b77e1c10,1
NSR:Quay:7787,RUT:ServiceJourney:c2b5a46386634922b7d568f938d045e7,NSR:Quay:7787,RUT:ServiceJourney:f9680044f772075200ed5c85044fc5ec,1
NSR:Quay:10100,RUT:ServiceJourney:e9c79d70bf465266ffb583be8af0fcd0,NSR:Quay:10098,RUT:ServiceJourney:bb1dbad593f5dab2b8a74be973514ebc,1
NSR:Quay:7786,RUT:ServiceJourney:2515c9a5f414ed532423b4ddb36573a8,NSR:Quay:7786,RUT:ServiceJourney:ed7bef7cb7ce2497b758e6cebcbfd45f,1
NSR:Quay:8250,RUT:ServiceJourney:d6b492279b7f58f65dc610788f62d411,NSR:Quay:8250,RUT:ServiceJourney:aca74c05055955d050a9cce0f6dc256d,1
NSR:Quay:7786,RUT:ServiceJourney:055811c6bae0816b4393fcfeacd55607,NSR:Quay:7787,RUT:ServiceJourney:2705a414b26e4bab327f934ebe1f010e,1
NSR:Quay:10098,RUT:ServiceJourney:18eeb4eb868056473d5e43eea63e75ef,NSR:Quay:10102,RUT:ServiceJourney:6d0cca32b9b1ffd85d421ca06d80ecfd,1
NSR:Quay:10098,RUT:ServiceJourney:cd9614b6a0ae4a3ce725a565c36d45e8,NSR:Quay:10100,RUT:ServiceJourney:010986ded5513d578e565cb66aaba158,1
NSR:Quay:12446,RUT:ServiceJourney:ecc25ea232b66defeb80e31357a6318f,NSR:Quay:12432,RUT:ServiceJourney:2ac6cd5a5282c48a5ece43dcc2ad4aaf,1
NSR:Quay:6143,RUT:ServiceJourney:733444b127294b74f2a85f78a805801a,NSR:Quay:6143,RUT:ServiceJourney:e6b173626b8542e62c9600e005bcf634,1
NSR:Quay:6813,RUT:ServiceJourney:7a879af6fe5a62d5cc7fbf1698248e80,NSR:Quay:6812,RUT:ServiceJourney:661ea3da3fc000989ad1f72d2e435673,1
NSR:Quay:10226,RUT:ServiceJourney:dd32fa8ba73a84c2efb75f11974d7903,NSR:Quay:10221,RUT:ServiceJourney:ba9c5113879336776c2ba9a974a7bac7,1
NSR:Quay:7266,RUT:ServiceJourney:b6e293740f2dc4870e4d998feb6960eb,NSR:Quay:7261,RUT:ServiceJourney:eec922d48cd64bb81c56c42f2bef2573,1
NSR:Quay:10100,RUT:ServiceJourney:e5f5be1f2b26e69a28ea2ac3a9199f34,NSR:Quay:10102,RUT:ServiceJourney:6d8561294da096432f24d9d39a71a880,1
NSR:Quay:12446,RUT:ServiceJourney:50fa78aad9b531c4df3e52aa95ffc8b5,NSR:Quay:12432,RUT:ServiceJourney:a1b0495f2ba52ee0b97c7853a862e2f2,1
NSR:Quay:5654,RUT:ServiceJourney:2687963182f818fc0016953c3c29a014,NSR:Quay:5652,RUT:ServiceJourney:d59065a3bb2bc09301dc4cd039df97ed,1
NSR:Quay:10102,RUT:ServiceJourney:944d1b54477cbfd72196d5e3f0a4c8f7,NSR:Quay:10097,RUT:ServiceJourney:f351bc934f7f580a3e86223cbcda0522,1
NSR:Quay:10102,RUT:ServiceJourney:2b34c9d77a0175628cd34b128ac08c30,NSR:Quay:10097,RUT:ServiceJourney:7fba726babc58ef669b02665a90d3ef8,1
NSR:Quay:10102,RUT:ServiceJourney:43964ec456044db1518b0725b99b88df,NSR:Quay:10098,RUT:ServiceJourney:58d9db75fc964627ae2dd0ca8048644a,1
NSR:Quay:10102,RUT:ServiceJourney:f1098e3a8d4d1b80b96dae4f585e193f,NSR:Quay:10100,RUT:ServiceJourney:f26f251185fbdef6b858be0f8ac8b5d9,1
NSR:Quay:6816,RUT:ServiceJourney:6216a87e834ea353b5c4dff141c3d712,NSR:Quay:6813,RUT:ServiceJourney:e6339079d7015a677b5edaed3995efaa,1
NSR:Quay:7786,RUT:ServiceJourney:70c100f9708007c4b984e279536c954e,NSR:Quay:7786,RUT:ServiceJourney:f465f39f227ad7b72d2865ecf0900749,1
NSR:Quay:10100,RUT:ServiceJourney:a457aabc86f62b64f203c54efbf846aa,NSR:Quay:10098,RUT:ServiceJourney:71013f37a3594c2550d917f5c3b2e4ba,1
NSR:Quay:8250,RUT:ServiceJourney:10e75ca343558a02fba69d3edc5abfa6,NSR:Quay:8250,RUT:ServiceJourney:54089a14848f36ddd856a0a3be1eabdc,1
