service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
7.675,1,1,1,1,1,0,0,20240826,20240913
7.680,1,1,1,1,1,0,0,20240916,20241129
D.675,1,1,1,1,1,0,0,20240826,20240913
D.680,1,1,1,1,1,0,0,20240916,20241129
Q.675,1,1,1,1,1,0,0,20240826,20240913
Q.680,1,1,1,1,1,0,0,20240916,20241127
W.675,1,1,1,1,1,0,0,20240826,20240913
W.680,1,1,1,1,1,0,0,20240916,20241127
8.675,0,0,0,0,0,1,0,20240831,20240914
8.680,0,0,0,0,0,1,0,20240921,20241130
E.675,0,0,0,0,0,1,0,20240831,20240914
E.680,0,0,0,0,0,1,0,20240921,20241130
S.675,0,0,0,0,0,1,0,20240831,20240914
S.680,0,0,0,0,0,1,0,20240921,20241130
F.675,0,0,0,0,0,0,1,20240825,20240908
F.680,0,0,0,0,0,0,1,20240915,20241124
U.675,0,0,0,0,0,0,1,20240825,20240908
U.680,0,0,0,0,0,0,1,20240915,20241124
X.675,0,0,0,0,0,0,0,20240902,20240902
X.680,0,0,0,0,0,0,0,20241128,20241128
C.675,0,0,0,0,0,0,1,20240825,20240908
C.680,0,0,0,0,0,0,1,20240915,20241124
A.675,1,1,1,1,1,0,0,20240826,20240913
A.680,1,1,1,1,1,0,0,20240916,20241127
B.675,0,0,0,0,0,1,0,20240831,20240914
B.680,0,0,0,0,0,1,0,20240921,20241130
e.675,0,0,0,0,0,0,0,20240902,20240902
f.680,0,0,0,0,0,0,0,20241128,20241128
g.680,0,0,0,0,0,0,0,20241129,20241129
