service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
701_merged_13785342,20230904,20231231,0,0,0,0,0,0,0
63901_merged_13785369,20230904,20231231,0,0,0,0,0,0,0
1201_merged_13785341,20230904,20231231,0,0,0,0,0,0,0
1201_merged_13785373,20240101,20240414,0,0,0,0,0,0,0
259702_merged_13785378,20240101,20240414,0,0,0,0,0,0,0
801_merged_13785399,20240101,20240414,0,0,0,0,0,0,0
3_merged_13785350,20230904,20231231,0,0,0,0,0,0,1
162503_merged_13785389,20240101,20240414,0,0,0,0,0,0,0
1101_merged_13785366,20230904,20231231,0,0,0,0,0,0,0
201_merged_13785338,20230904,20231231,0,0,0,0,0,0,0
1901_merged_13785386,20240101,20240414,0,0,0,0,0,0,0
101_merged_13785361,20230904,20231231,0,0,0,0,0,0,0
152201_merged_13785356,20230904,20231231,0,0,0,0,0,0,0
62101_merged_13785347,20230904,20231231,0,0,0,0,0,0,0
32603_merged_13785340,20230904,20231231,0,0,0,0,0,0,0
253403_merged_13785380,20240101,20240414,0,0,0,0,0,0,0
162601_merged_13785343,20230904,20231231,0,0,0,0,0,0,0
1_merged_13785349,20230904,20231231,1,1,1,1,1,0,0
4901,20240101,20240414,0,0,0,0,0,0,0
4903,20240101,20240414,0,0,0,0,0,0,0
4902,20240101,20240414,0,0,0,0,0,0,0
59001_merged_13785344,20230904,20231231,0,0,0,0,0,0,0
162503_merged_13785357,20230904,20231231,0,0,0,0,0,0,0
801_merged_13785367,20230904,20231231,0,0,0,0,0,0,0
75401_merged_13785355,20230904,20231231,0,0,0,0,0,0,0
3_merged_13785382,20240101,20240414,0,0,0,0,0,0,1
1901_merged_13785354,20230904,20231231,0,0,0,0,0,0,0
155601_merged_13785400,20240101,20240414,0,0,0,0,0,0,0
101_merged_13785393,20240101,20240414,0,0,0,0,0,0,0
59101_merged_13785377,20240101,20240414,0,0,0,0,0,0,0
63901_merged_13785401,20240101,20240414,0,0,0,0,0,0,0
75301_merged_13785362,20230904,20231231,0,0,0,0,0,0,0
-999_merged_13785384,20240101,20240414,1,1,1,1,1,1,1
59101_merged_13785345,20230904,20231231,0,0,0,0,0,0,0
152201_merged_13785388,20240101,20240414,0,0,0,0,0,0,0
162601_merged_13785375,20240101,20240414,0,0,0,0,0,0,0
1803_merged_13785363,20230904,20231231,0,0,0,0,0,0,0
169801_merged_13785364,20230904,20231231,0,0,0,0,0,0,0
35303,20230904,20231231,0,0,0,0,0,0,0
259702_merged_13785346,20230904,20231231,0,0,0,0,0,0,0
2001_merged_13785365,20230904,20231231,0,0,0,0,0,0,0
259802,20230904,20231231,0,0,0,0,0,0,0
259803,20230904,20231231,0,0,0,0,0,0,0
-999_merged_13785352,20230904,20231231,1,1,1,1,1,1,1
259801,20230904,20231231,0,0,0,0,0,0,0
92402,20230904,20231231,0,0,0,0,0,0,0
169801_merged_13785396,20240101,20240414,0,0,0,0,0,0,0
259703_merged_13785392,20240101,20240414,0,0,0,0,0,0,0
155601_merged_13785368,20230904,20231231,0,0,0,0,0,0,0
2_merged_13785351,20230904,20231231,0,0,0,0,0,1,0
1101_merged_13785398,20240101,20240414,0,0,0,0,0,0,0
259701_merged_13785391,20240101,20240414,0,0,0,0,0,0,0
1_merged_13785381,20240101,20240414,1,1,1,1,1,0,0
259701_merged_13785359,20230904,20231231,0,0,0,0,0,0,0
401_merged_13785353,20230904,20231231,0,0,0,0,0,0,0
152301_merged_13785358,20230904,20231231,0,0,0,0,0,0,0
1803_merged_13785395,20240101,20240414,0,0,0,0,0,0,0
701_merged_13785374,20240101,20240414,0,0,0,0,0,0,0
152301_merged_13785390,20240101,20240414,0,0,0,0,0,0,0
62201_merged_13785339,20230904,20231231,0,0,0,0,0,0,0
201_merged_13785370,20240101,20240414,0,0,0,0,0,0,0
253403_merged_13785348,20230904,20231231,0,0,0,0,0,0,0
401_merged_13785385,20240101,20240414,0,0,0,0,0,0,0
92501,20230904,20231231,0,0,0,0,0,0,0
32603_merged_13785372,20240101,20240414,0,0,0,0,0,0,0
62201_merged_13785371,20240101,20240414,0,0,0,0,0,0,0
75301_merged_13785394,20240101,20240414,0,0,0,0,0,0,0
59001_merged_13785376,20240101,20240414,0,0,0,0,0,0,0
2001_merged_13785397,20240101,20240414,0,0,0,0,0,0,0
259703_merged_13785360,20230904,20231231,0,0,0,0,0,0,0
75401_merged_13785387,20240101,20240414,0,0,0,0,0,0,0
62101_merged_13785379,20240101,20240414,0,0,0,0,0,0,0
2_merged_13785383,20240101,20240414,0,0,0,0,0,1,0
