timepoint_id,timepoint_code,timepoint_name,timepoint_desc,timepoint_lat,timepoint_lon,zone_id,timepoint_url,location_type,parent_station,timepoint_timezone,wheelchair_boarding
1,1003852,"East Basin Drive SW at Jefferson Memorial (WB)",,38.879926,-77.037402,,,,,,0
2,1000620,"8th Street and E Street SE (NB)",,38.882996,-76.994895,,,,,,0
3,1001878,"Columbia Road and Ontario Road NW (WB)",,38.924512,-77.040062,,,,,,0
4,1001637,"Wisconsin Avenue and 34th Street NW (NB)",,38.915898,-77.067755,,,,,,0
6,1000855,"Constitution Avenue and 21st Street NW (EB)",,38.891977,-77.046862,,,,,,0
7,1001065,"N Capitol Street and Massachusetts Avenue NW (SB)",,38.897808,-77.009201,,,,,,0
8,1001702,"14th Street and U Street NW (NB)",,38.917452,-77.031825,,,,,,0
9,1003848,"3rd Street near Madison Drive NW (NB)",,38.889932,-77.015068,,,,,,0
10,1001376,"Wisconsin Avenue and Dumbarton Street NW (NB)",,38.907395,-77.063253,,,,,,0
12,1000504,"M Street and 4th Street SE (EB)",,38.876363,-77.000745,,,,,,0
13,1001993,"Mount Pleasant Street and Irving Street NW (NB)",,38.928589,-77.037178,,,,,,0
14,1003525,"New York Avenue and 9th Street NW (EB)",,38.901801,-77.024610,,,,,,0
15,1001496,"Wisconsin Avenue and Q Street NW (NB)",,38.911051,-77.065178,,,,,,0
16,1003859,"Madison Drive and 4th Street NW (WB)",,38.890636,-77.017323,,,,,,0
17,6001347,"Rosslyn Metro Station",,38.897320,-77.071558,,,,,,0
18,1001257,"13th Street and K Street NW (SB)",,38.902768,-77.029768,,,,,,0
19,1003813,"Lower K Street and 30th Street NW (WB)",,38.902678,-77.058852,,,,,,0
20,1001233,"K Street and 19th Street NW (WB)",,38.902600,-77.043266,,,,,,0
21,1003847,"15th Street and Jefferson Drive SW (SB)",,38.888409,-77.033545,,,,,,0
23,1001426,"Wisconsin Avenue and P Street NW (SB)",,38.909370,-77.064485,,,,,,0
24,1001323,"M Street and 31st Street NW (WB)",,38.905286,-77.061571,,,,,,0
26,1001413,"14th Street and Rhode Island Avenue NW (NB)",,38.909194,-77.031806,,,,,,0
27,1001316,"Pennsylvania Avenue and 28th Street NW (WB)",,38.904881,-77.057217,,,,,,0
