trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
2412070,RS-DP,3,"DUPONT CIRCLE",,1,100607707,shp-RS-DP-04,0,0
5334070,GT-US,3,"GEORGETOWN",,0,100109707,shp-GT-US-01,0,0
7198060,GT-US,4,"UNION STATION",,1,100104606,shp-GT-US-51,0,0
2190060,WP-AM,4,"MCPHERSON SQUARE METRO",,0,100251606,shp-WP-AM-53,0,0
6364020,GT-US,7,"UNION STATION",,1,100104202,shp-GT-US-51,0,0
5617030,WP-AM,5,"MCPHERSON SQUARE METRO",,0,100203303,shp-WP-AM-53,0,0
3462030,NMS,5,"LINCOLN MEMORIAL",,1,100806303,shp-NMS-03,0,0
5962060,WP-AM,4,"WOODLEY PARK METRO",,1,100204606,shp-WP-AM-03,0,0
550040,NMS,2,"LINCOLN MEMORIAL",,1,100803404,shp-NMS-03,0,0
2426040,WP-AM,2,"WOODLEY PARK METRO",,1,100209404,shp-WP-AM-03,0,0
6114040,GT-US,2,"GEORGETOWN",,0,100109404,shp-GT-US-01,0,0
2411070,CH-US,3,"UNION STATION",,1,100707707,shp-CH-US-03,0,0
1226050,CH-US,1,"CONGRESS HEIGHTS",,0,100701505,shp-CH-US-53,0,0
6015060,RS-DP,4,"DUPONT CIRCLE",,1,100601606,shp-RS-DP-04,0,0
5199030,WP-AM,5,"WOODLEY PARK METRO",,1,100206303,shp-WP-AM-03,0,0
7165020,WP-AM,7,"MCPHERSON SQUARE METRO",,0,100205202,shp-WP-AM-53,0,0
4253060,WP-AM,4,"MCPHERSON SQUARE METRO",,0,100207606,shp-WP-AM-53,0,0
6387010,WP-AM,6,"WOODLEY PARK METRO",,1,100207101,shp-WP-AM-03,0,0
5150060,WP-AM,4,"MCPHERSON SQUARE METRO",,0,100207606,shp-WP-AM-53,0,0
3428020,WP-AM,7,"WOODLEY PARK METRO",,1,100203202,shp-WP-AM-03,0,0
3315070,RS-DP,3,"DUPONT CIRCLE",,1,100604707,shp-RS-DP-04,0,0
4619060,CH-US,4,"CONGRESS HEIGHTS",,0,100701606,shp-CH-US-53,0,0
1988070,NMS,3,"LINCOLN MEMORIAL",,1,100801707,shp-NMS-03,0,0
4758010,NMS,6,"LINCOLN MEMORIAL",,1,100802101,shp-NMS-03,0,0
5745030,RS-DP,5,"ROSSLYN",,0,100602303,shp-RS-DP-54,0,0
5290060,NMS,4,"LINCOLN MEMORIAL",,1,100802606,shp-NMS-03,0,0
2899040,RS-DP,2,"ROSSLYN",,0,100603404,shp-RS-DP-54,0,0
1839070,EM-LP,3,"EASTERN MARKET",,1,100551707,shp-EM-LP-03,2,2
5380060,GT-US,4,"GEORGETOWN",,0,100112606,shp-GT-US-01,0,0
3484060,WP-AM,4,"MCPHERSON SQUARE METRO",,0,100201606,shp-WP-AM-53,0,0
4771070,CH-US,3,"UNION STATION",,1,100707707,shp-CH-US-03,0,0
4284060,GT-US,4,"UNION STATION",,1,100101606,shp-GT-US-51,0,0
1297010,RS-DP,6,"ROSSLYN",,0,100606101,shp-RS-DP-54,0,0
4461040,EM-LP,2,"EASTERN MARKET",,1,100506404,shp-EM-LP-03,2,2
6293030,GT-US,5,"UNION STATION",,1,100104303,shp-GT-US-51,0,0
7470070,CH-US,3,"UNION STATION",,1,100702707,shp-CH-US-03,0,0
4014060,CH-US,4,"UNION STATION",,1,100707606,shp-CH-US-03,0,0
5575060,GT-US,4,"GEORGETOWN",,0,100106606,shp-GT-US-01,0,0
1856030,RS-DP,5,"DUPONT CIRCLE",,1,100602303,shp-RS-DP-04,0,0
4110010,WP-AM,6,"MCPHERSON SQUARE METRO",,0,100207101,shp-WP-AM-53,0,0
7337060,RS-DP,4,"ROSSLYN",,0,100602606,shp-RS-DP-54,0,0
479020,GT-US,7,"GEORGETOWN",,0,100108202,shp-GT-US-01,0,0
4190040,GT-US,2,"GEORGETOWN",,0,100103404,shp-GT-US-01,0,0
7192030,GT-US,5,"GEORGETOWN",,0,100106303,shp-GT-US-01,0,0
5252010,WP-AM,6,"MCPHERSON SQUARE METRO",,0,100207101,shp-WP-AM-53,0,0
2864040,EM-LP,2,"EASTERN MARKET",,1,100551404,shp-EM-LP-03,2,2
1093020,RS-DP,7,"ROSSLYN",,0,100603202,shp-RS-DP-54,0,0
6138060,WP-AM,4,"WOODLEY PARK METRO",,1,100202606,shp-WP-AM-03,0,0
6119040,WP-AM,2,"WOODLEY PARK METRO",,1,100203404,shp-WP-AM-03,0,0
5757020,RS-DP,7,"DUPONT CIRCLE",,1,100652202,shp-RS-DP-04,0,0
4188030,RS-DP,5,"DUPONT CIRCLE",,1,100606303,shp-RS-DP-04,0,0
785020,CH-US,7,"CONGRESS HEIGHTS",,0,100703202,shp-CH-US-53,0,0
6523010,WP-AM,6,"MCPHERSON SQUARE METRO",,0,100202101,shp-WP-AM-53,0,0
1409030,RS-DP,5,"ROSSLYN",,0,100606303,shp-RS-DP-54,0,0
2084030,WP-AM,5,"WOODLEY PARK METRO",,1,100207303,shp-WP-AM-03,0,0
4121010,WP-AM,6,"MCPHERSON SQUARE METRO",,0,100203101,shp-WP-AM-53,0,0
3936010,WP-AM,6,"WOODLEY PARK METRO",,1,100203101,shp-WP-AM-03,0,0
5683010,CH-US,6,"UNION STATION",,1,100709101,shp-CH-US-03,0,0
1547010,RS-DP,6,"DUPONT CIRCLE",,1,100606101,shp-RS-DP-04,0,0
4950040,WP-AM,2,"MCPHERSON SQUARE METRO",,0,100201404,shp-WP-AM-53,0,0
6008030,WP-AM,5,"WOODLEY PARK METRO",,1,100209303,shp-WP-AM-03,0,0
745030,CH-US,5,"CONGRESS HEIGHTS",,0,100709303,shp-CH-US-53,0,0
5296020,EM-LP,7,"L'ENFANT PLAZA",,0,100503202,shp-EM-LP-53,2,2
1291070,WP-AM,3,"WOODLEY PARK METRO",,1,100206707,shp-WP-AM-03,0,0
7063050,RS-DP,1,"DUPONT CIRCLE",,1,100604505,shp-RS-DP-04,0,0
418020,RS-DP,7,"ROSSLYN",,0,100602202,shp-RS-DP-54,0,0
6235050,WP-AM,1,"MCPHERSON SQUARE METRO",,0,100201505,shp-WP-AM-53,0,0
6264070,EM-LP,3,"EASTERN MARKET",,1,100501707,shp-EM-LP-03,2,2
3486070,GT-US,3,"GEORGETOWN",,0,100114707,shp-GT-US-01,0,0
5293070,GT-US,3,"UNION STATION",,1,100112707,shp-GT-US-51,0,0
2516060,EM-LP,4,"EASTERN MARKET",,1,100503606,shp-EM-LP-03,2,2
7052050,CH-US,1,"CONGRESS HEIGHTS",,0,100709505,shp-CH-US-53,0,0
4340020,GT-US,7,"UNION STATION",,1,100113202,shp-GT-US-51,0,0
3264040,CH-US,2,"CONGRESS HEIGHTS",,0,100711404,shp-CH-US-53,0,0
5636030,WP-AM,5,"WOODLEY PARK METRO",,1,100208303,shp-WP-AM-03,0,0
7335010,CH-US,6,"UNION STATION",,1,100704101,shp-CH-US-03,0,0
2520030,GT-US,5,"UNION STATION",,1,100108303,shp-GT-US-51,0,0
6711060,EM-LP,4,"EASTERN MARKET",,1,100503606,shp-EM-LP-03,2,2
3626040,GT-US,2,"GEORGETOWN",,0,100152404,shp-GT-US-01,0,0
3285020,GT-US,7,"GEORGETOWN",,0,100103202,shp-GT-US-01,0,0
2804040,CH-US,2,"UNION STATION",,1,100705404,shp-CH-US-03,0,0
3867050,EM-LP,1,"EASTERN MARKET",,1,100501505,shp-EM-LP-03,2,2
68060,NMS,4,"LINCOLN MEMORIAL",,1,100852606,shp-NMS-03,0,0
3731070,RS-DP,3,"ROSSLYN",,0,100606707,shp-RS-DP-54,0,0
6209020,WP-AM,7,"WOODLEY PARK METRO",,1,100206202,shp-WP-AM-03,0,0
2458010,CH-US,6,"CONGRESS HEIGHTS",,0,100706101,shp-CH-US-53,0,0
2310020,GT-US,7,"GEORGETOWN",,0,100108202,shp-GT-US-01,0,0
1780050,GT-US,1,"UNION STATION",,1,100106505,shp-GT-US-51,0,0
6188020,EM-LP,7,"L'ENFANT PLAZA",,0,100503202,shp-EM-LP-53,2,2
3929020,GT-US,7,"GEORGETOWN",,0,100112202,shp-GT-US-01,0,0
3082040,WP-AM,2,"WOODLEY PARK METRO",,1,100252404,shp-WP-AM-03,0,0
4387060,CH-US,4,"CONGRESS HEIGHTS",,0,100704606,shp-CH-US-53,0,0
2079020,EM-LP,7,"L'ENFANT PLAZA",,0,100551202,shp-EM-LP-53,2,2
6635020,RS-DP,7,"DUPONT CIRCLE",,1,100606202,shp-RS-DP-04,0,0
4825010,EM-LP,6,"EASTERN MARKET",,1,100505101,shp-EM-LP-03,2,2
3164030,GT-US,5,"GEORGETOWN",,0,100110303,shp-GT-US-01,0,0
6698030,CH-US,5,"CONGRESS HEIGHTS",,0,100701303,shp-CH-US-53,0,0
128030,GT-US,5,"GEORGETOWN",,0,100108303,shp-GT-US-01,0,0
5020020,WP-AM,7,"WOODLEY PARK METRO",,1,100207202,shp-WP-AM-03,0,0
2192040,EM-LP,2,"EASTERN MARKET",,1,100503404,shp-EM-LP-03,2,2
287020,NMS,7,"LINCOLN MEMORIAL",,1,100806202,shp-NMS-03,0,0
704020,RS-DP,7,"ROSSLYN",,0,100652202,shp-RS-DP-54,0,0
1089040,RS-DP,2,"ROSSLYN",,0,100602404,shp-RS-DP-54,0,0
2587010,GT-US,6,"GEORGETOWN",,0,100102101,shp-GT-US-01,0,0
5695020,CH-US,7,"CONGRESS HEIGHTS",,0,100702202,shp-CH-US-53,0,0
4094050,GT-US,1,"UNION STATION",,1,100112505,shp-GT-US-51,0,0
6525020,CH-US,7,"UNION STATION",,1,100707202,shp-CH-US-03,0,0
6942020,RS-DP,7,"DUPONT CIRCLE",,1,100605202,shp-RS-DP-04,0,0
794010,GT-US,6,"GEORGETOWN",,0,100105101,shp-GT-US-01,0,0
4425040,WP-AM,2,"MCPHERSON SQUARE METRO",,0,100206404,shp-WP-AM-53,0,0
7713020,WP-AM,7,"WOODLEY PARK METRO",,1,100209202,shp-WP-AM-03,0,0
496040,RS-DP,2,"DUPONT CIRCLE",,1,100606404,shp-RS-DP-04,0,0
4829050,GT-US,1,"UNION STATION",,1,100104505,shp-GT-US-51,0,0
2293020,EM-LP,7,"EASTERN MARKET",,1,100504202,shp-EM-LP-03,2,2
2240010,GT-US,6,"UNION STATION",,1,100104101,shp-GT-US-51,0,0
357040,GT-US,2,"UNION STATION",,1,100111404,shp-GT-US-51,0,0
3927010,GT-US,6,"GEORGETOWN",,0,100103101,shp-GT-US-01,0,0
2263030,GT-US,5,"UNION STATION",,1,100105303,shp-GT-US-51,0,0
3074020,RS-DP,7,"ROSSLYN",,0,100601202,shp-RS-DP-54,0,0
596070,RS-DP,3,"ROSSLYN",,0,100605707,shp-RS-DP-54,0,0
6989010,WP-AM,6,"MCPHERSON SQUARE METRO",,0,100206101,shp-WP-AM-53,0,0
7309060,RS-DP,4,"ROSSLYN",,0,100651606,shp-RS-DP-54,0,0
4899050,CH-US,1,"CONGRESS HEIGHTS",,0,100701505,shp-CH-US-53,0,0
1923010,RS-DP,6,"DUPONT CIRCLE",,1,100605101,shp-RS-DP-04,0,0
4682030,EM-LP,5,"EASTERN MARKET",,1,100505303,shp-EM-LP-03,2,2
5327030,CH-US,5,"CONGRESS HEIGHTS",,0,100707303,shp-CH-US-53,0,0
5433030,CH-US,5,"UNION STATION",,1,100711303,shp-CH-US-03,0,0
970030,EM-LP,5,"EASTERN MARKET",,1,100551303,shp-EM-LP-03,2,2
6254030,NMS,5,"LINCOLN MEMORIAL",,1,100806303,shp-NMS-03,0,0
1451030,EM-LP,5,"EASTERN MARKET",,1,100506303,shp-EM-LP-03,2,2
