runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
100000,c_16337_b_27473_d_16,1,1,1,t_541220_b_27473_tn_1,2506390,t_541220_b_27473_tn_3,2506397
1000000,c_16337_b_27473_d_32,2,10,1,t_542707_b_27473_tn_1,2506390,t_542711_b_27473_tn_3,2506397
1100000,c_16337_b_27473_d_32,3,11,1,t_542720_b_27473_tn_1,2506397,t_542717_b_27473_tn_2,2506399
1200000,c_16337_b_27473_d_32,4,12,1,t_542706_b_27473_tn_1,2506390,t_554181_b_27473_tn_3,2506399
1300000,c_16337_b_27473_d_96,1,13,1,t_541380_b_27473_tn_1,2506390,t_541381_b_27473_tn_18,2506399
1400000,c_16337_b_27473_d_96,2,14,1,t_541197_b_27473_tn_1,2506390,t_541197_b_27473_tn_18,2506397
1500000,c_16337_b_27473_d_96,3,15,1,t_541384_b_27473_tn_1,2506397,t_541385_b_27473_tn_18,2506397
1600000,c_16337_b_27473_d_96,4,16,1,t_541382_b_27473_tn_1,2506397,t_541382_b_27473_tn_18,2506399
200000,c_16337_b_27473_d_16,2,2,1,t_541215_b_27473_tn_1,2506397,t_541215_b_27473_tn_3,2506399
300000,c_16337_b_27473_d_16,3,3,1,t_541214_b_27473_tn_1,2506397,t_541214_b_27473_tn_3,2506399
400000,c_16337_b_27473_d_16,4,4,1,t_541517_b_27473_tn_0,2506390,t_541519_b_27473_tn_2,2506399
500000,c_16337_b_27473_d_31,1,5,1,t_541174_b_27473_tn_1,2506390,t_545677_b_27473_tn_0,2506399
600000,c_16337_b_27473_d_31,2,6,1,t_541182_b_27473_tn_1,2506390,t_541182_b_27473_tn_23,2506397
700000,c_16337_b_27473_d_31,3,7,1,t_541190_b_27473_tn_1,2506397,t_545679_b_27473_tn_0,2506397
800000,c_16337_b_27473_d_31,4,8,1,t_541198_b_27473_tn_1,2506397,t_541198_b_27473_tn_23,2506399
900000,c_16337_b_27473_d_32,1,9,1,t_542710_b_27473_tn_1,2506390,t_542716_b_27473_tn_3,2506399
