shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
p_531023,38.9002109369529,-77.0046605291434,1,0
p_531023,38.9002144607685,-77.004068975002,2,51.31759942
p_531023,38.9002052087739,-77.0028308324789,3,158.72883877
p_531023,38.9002079962506,-77.0021848993063,4,214.76307583
p_531023,38.9002048935853,-77.0021370740368,5,218.92609367
p_531023,38.9001820259283,-77.0020290454377,6,228.63511749
p_531023,38.9001739549795,-77.0019866982218,7,232.41634149
p_531023,38.9001781807955,-77.0014390244026,8,279.92826241
p_531023,38.9001780973555,-77.0014388488666,9,279.94608588
p_531023,38.90017749864,-77.0005703431926,10,355.28723784
p_531023,38.9001835793729,-76.999815290941,11,420.78997992
p_531023,38.9001833940542,-76.9998151774168,12,420.81278841
p_531023,38.9001732320144,-76.9985174235406,13,533.39598179
p_531023,38.9001742687283,-76.9961542934393,14,738.39281516
p_531023,38.9001756606169,-76.9952886571411,15,813.48518718
p_531023,38.9001757583024,-76.9952885046004,16,813.50229574
p_531023,38.9001741837462,-76.9905130741739,17,1227.76134603
p_531023,38.9001694534157,-76.9886181947375,18,1392.13918347
p_531023,38.900169201871,-76.9886184457805,19,1392.17459614
p_531023,38.9001689088676,-76.9871357482742,20,1520.79564639
p_531023,38.9001660693415,-76.985339650765,21,1676.60383887
p_531023,38.9001739500692,-76.9850051387993,22,1705.63526828
p_531023,38.900169000228,-76.9839207118929,23,1799.70873732
p_531023,38.9001583873666,-76.9838103113394,24,1809.35796303
p_531023,38.9001466259396,-76.9836930325321,25,1819.6151098
p_531023,38.9001219368176,-76.9835264505384,26,1834.32339907
p_531023,38.9000824004474,-76.9833020935624,27,1854.27469829
p_531023,38.9000306735639,-76.9829867111193,28,1882.22968216
p_531023,38.9000305579803,-76.9829860979146,29,1882.28440224
p_531023,38.8997417407128,-76.9813588625274,30,2027.03989337
p_531023,38.8997124513537,-76.9811718232802,31,2043.58786498
p_531023,38.8996450543133,-76.9808009927996,32,2076.61552382
p_531023,38.8995545498539,-76.9802716976172,33,2123.61759908
p_531023,38.8993549736272,-76.9791158210062,34,2226.30715682
p_531023,38.899233942909,-76.9784641730827,35,2284.41181468
p_531023,38.8990541430611,-76.977402256701,36,2378.66990439
p_531023,38.8989463350291,-76.9767814199039,37,2433.84089674
p_531023,38.8988723465491,-76.9763946966451,38,2468.37982804
p_531023,38.8988110708223,-76.9760161706758,39,2501.91399833
p_531023,38.8988111509929,-76.9760175515125,40,2502.03411561
p_531023,38.8987066658664,-76.9754322872435,41,2554.11375828
p_531023,38.898572320898,-76.9746592386889,42,2622.81400045
p_531023,38.8984592082785,-76.9740125435531,43,2680.30295725
p_531023,38.8982776987272,-76.9729778726159,44,2772.29482875
p_531023,38.8981552732401,-76.9723083927883,45,2831.94148042
p_531023,38.8981307442152,-76.9721665634568,46,2844.54297043
p_531023,38.8981151348328,-76.9720533865047,47,2854.51287364
p_531023,38.8979693552297,-76.971236672252,48,2927.18811865
p_531023,38.8978534839198,-76.9705757791829,49,2985.94638064
p_531023,38.8977739630698,-76.970118024286,50,3026.62642659
p_531023,38.8977400772849,-76.9698902694315,51,3046.73929464
p_531024,38.8978049827211,-76.9698744729354,1,0
p_531024,38.8978492461652,-76.9701389435879,2,23.46336665
p_531024,38.8978503870973,-76.9701608648096,3,25.36926399
p_531024,38.897984599623,-76.9709059377628,4,91.69992904
p_531024,38.8980494927832,-76.971265636276,5,123.7247916
p_531024,38.8981278131788,-76.9717232091462,6,164.36055095
p_531024,38.8982057554786,-76.9721598649819,7,203.2162996
p_531024,38.8982458447092,-76.9723951774525,8,224.10924428
p_531024,38.8982855697094,-76.9726104056787,9,243.29410352
p_531024,38.8984760465055,-76.9737150678292,10,341.428969
p_531024,38.8985657508343,-76.9742149565958,11,385.92305377
